3D_003,24
FileName,C:\MLP_Data\20221019-strategy-3+40-3\20221019-strategy-3+40-3_016.csv
Type of measurement data,3D data in details.
Number of points in X direction,2024
Number of points in Y direction,1
Max. in X direction,-1.704227
Min. in X direction,2.630055
Max. in Y direction,-0.827015
Min. in Y direction,-0.827115
Max. in Z direction,0.472906
Min. in Z direction,-0.546704
Ave. in Z direction,-0.030382
Data Name,Polygon data(The 1 profiles AZ=-140deg.)
Pitch,Tracing axis : ,0.001000,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.001000,Stepping axis : ,0.000000
Range,Tracing axis : ,2.023000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.534875,1.764953,-0.827035
-0.534480,1.765431,-0.827035
-0.533823,1.766212,-0.827035
-0.533148,1.767016,-0.827035
-0.532493,1.767797,-0.827035
-0.531843,1.768571,-0.827035
-0.531186,1.769351,-0.827035
-0.530550,1.770109,-0.827035
-0.529920,1.770860,-0.827035
-0.529271,1.771634,-0.827035
-0.528647,1.772377,-0.827035
-0.527992,1.773158,-0.827035
-0.527342,1.773932,-0.827035
-0.529921,1.777793,-0.827035
-0.545826,1.792353,-0.827035
-0.546704,1.794068,-0.827035
-0.546485,1.795151,-0.827035
-0.545850,1.795924,-0.827035
-0.545236,1.796662,-0.827035
-0.544196,1.797081,-0.827035
-0.540960,1.795515,-0.827035
-0.539094,1.795176,-0.827035
-0.538512,1.795993,-0.827035
-0.537983,1.796880,-0.827035
-0.537806,1.798076,-0.827035
-0.537161,1.798867,-0.827035
-0.536464,1.799705,-0.827035
-0.535787,1.800508,-0.827035
-0.535120,1.801305,-0.827035
-0.534458,1.802095,-0.827035
-0.533796,1.802883,-0.827035
-0.533140,1.803665,-0.827035
-0.532524,1.804401,-0.827035
-0.531867,1.805182,-0.827035
-0.531219,1.805956,-0.827035
-0.530537,1.806767,-0.827035
-0.529881,1.807549,-0.827035
-0.529271,1.808277,-0.827035
-0.528660,1.809005,-0.827035
-0.528037,1.809748,-0.827035
-0.527426,1.810476,-0.827035
-0.526989,1.811336,-0.827035
-0.536234,1.820843,-0.827035
-0.537402,1.822724,-0.827035
-0.536996,1.823754,-0.827035
-0.536337,1.824545,-0.827035
-0.535704,1.825306,-0.827035
-0.535058,1.826082,-0.827035
-0.534416,1.826849,-0.827035
-0.533768,1.827624,-0.827035
-0.533126,1.828391,-0.827035
-0.532458,1.829188,-0.827035
-0.531816,1.829955,-0.827035
-0.531162,1.830737,-0.827035
-0.530519,1.831503,-0.827035
-0.529890,1.832255,-0.827035
-0.529266,1.832997,-0.827035
-0.528663,1.833718,-0.827035
-0.528046,1.834454,-0.827035
-0.527436,1.835182,-0.827035
-0.526831,1.835901,-0.827035
-0.526214,1.836637,-0.827035
-0.525584,1.837388,-0.827035
-0.525066,1.838232,-0.827035
-0.525332,1.839852,-0.827035
-0.524810,1.840759,-0.827035
-0.524245,1.841668,-0.827035
-0.523742,1.842604,-0.827035
-0.523075,1.843402,-0.827035
-0.522410,1.844202,-0.827035
-0.521767,1.844968,-0.827035
-0.521108,1.845759,-0.827035
-0.520505,1.846532,-0.827035
-0.520125,1.847493,-0.827035
-0.519769,1.848525,-0.827035
-0.519119,1.849377,-0.827035
-0.518551,1.850245,-0.827035
-0.517948,1.850966,-0.827035
-0.517334,1.851703,-0.827035
-0.516844,1.852557,-0.827035
-0.516891,1.853850,-0.827035
-0.516654,1.854839,-0.827035
-0.517772,1.857618,-0.827035
-0.519382,1.859831,-0.827035
-0.520284,1.861906,-0.827035
-0.519968,1.862946,-0.827035
-0.520487,1.864726,-0.827035
-0.520708,1.866243,-0.827035
-0.520729,1.867566,-0.827035
-0.520079,1.868431,-0.827035
-0.519459,1.869177,-0.827035
-0.518800,1.869968,-0.827035
-0.518126,1.870682,-0.827035
-0.512796,1.867959,-0.827035
-0.510951,1.867272,-0.827035
-0.505818,1.864636,-0.827035
-0.504009,1.864019,-0.827035
-0.501782,1.863730,-0.827035
-0.500250,1.863371,-0.827035
-0.499505,1.863934,-0.827035
-0.498883,1.864665,-0.827035
-0.498255,1.865417,-0.827035
-0.497612,1.866183,-0.827035
-0.496949,1.866972,-0.827035
-0.496281,1.867769,-0.827035
-0.503192,1.875252,-0.827035
-0.504300,1.877121,-0.827035
-0.504002,1.878242,-0.827035
-0.503429,1.879171,-0.827035
-0.504139,1.881451,-0.827035
-0.504767,1.882918,-0.827035
-0.505061,1.884992,-0.827035
-0.505659,1.886290,-0.827035
-0.505269,1.887242,-0.827035
-0.504611,1.888035,-0.827035
-0.503914,1.888860,-0.827035
-0.503275,1.889629,-0.827035
-0.502657,1.890363,-0.827035
-0.502052,1.891083,-0.827035
-0.501542,1.891895,-0.827035
-0.502057,1.893567,-0.827035
-0.503643,1.896126,-0.827035
-0.504356,1.898055,-0.827035
-0.503818,1.898935,-0.827035
-0.503190,1.899687,-0.827035
-0.502523,1.900485,-0.827035
-0.501860,1.901274,-0.827035
-0.501193,1.902072,-0.827035
-0.500543,1.902845,-0.827035
-0.499883,1.903635,-0.827035
-0.499240,1.904401,-0.827035
-0.498584,1.905182,-0.827035
-0.497942,1.905949,-0.827035
-0.497109,1.906568,-0.827035
-0.496369,1.907239,-0.827035
-0.495741,1.907992,-0.827035
-0.495118,1.908736,-0.827035
-0.494500,1.909470,-0.827035
-0.493863,1.910228,-0.827035
-0.493234,1.910980,-0.827035
-0.492629,1.911699,-0.827035
-0.492006,1.912443,-0.827035
-0.491371,1.913202,-0.827035
-0.490707,1.913990,-0.827035
-0.490073,1.914750,-0.827035
-0.489409,1.915537,-0.827035
-0.488747,1.916327,-0.827035
-0.488072,1.917131,-0.827035
-0.487390,1.917942,-0.827035
-0.486735,1.918724,-0.827035
-0.486092,1.919490,-0.827035
-0.485430,1.920279,-0.827035
-0.484788,1.921045,-0.827035
-0.484170,1.921819,-0.827035
-0.484712,1.923658,-0.827035
-0.484733,1.925007,-0.827035
-0.484128,1.925818,-0.827035
-0.483515,1.926531,-0.827035
-0.482923,1.927248,-0.827035
-0.482306,1.927984,-0.827035
-0.481707,1.928695,-0.827035
-0.481093,1.929431,-0.827035
-0.480431,1.930220,-0.827035
-0.479781,1.930994,-0.827035
-0.479126,1.931776,-0.827035
-0.478464,1.932565,-0.827035
-0.477795,1.933361,-0.827035
-0.477140,1.934143,-0.827035
-0.476497,1.934909,-0.827035
-0.475849,1.935683,-0.827035
-0.475211,1.936441,-0.827035
-0.474564,1.937216,-0.827035
-0.473927,1.937973,-0.827035
-0.473285,1.938740,-0.827035
-0.472622,1.939529,-0.827035
-0.471986,1.940288,-0.827035
-0.471363,1.941031,-0.827035
-0.470725,1.941788,-0.827035
-0.470103,1.942532,-0.827035
-0.469485,1.943267,-0.827035
-0.468886,1.943979,-0.827035
-0.468258,1.944731,-0.827035
-0.467628,1.945481,-0.827035
-0.466965,1.946269,-0.827035
-0.466310,1.947052,-0.827035
-0.465661,1.947825,-0.827035
-0.464993,1.948622,-0.827035
-0.464311,1.949434,-0.827035
-0.463636,1.950239,-0.827035
-0.462961,1.951043,-0.827035
-0.462508,1.951981,-0.827035
-0.465836,1.956405,-0.827035
-0.466829,1.958282,-0.827035
-0.466484,1.959286,-0.827035
-0.465817,1.960084,-0.827035
-0.465141,1.960900,-0.827035
-0.464508,1.961661,-0.827035
-0.463909,1.962372,-0.827035
-0.463295,1.963111,-0.827035
-0.462673,1.963855,-0.827035
-0.462068,1.964575,-0.827035
-0.461459,1.965304,-0.827035
-0.460792,1.966101,-0.827035
-0.460135,1.966882,-0.827035
-0.459495,1.967650,-0.827035
-0.458839,1.968431,-0.827035
-0.458183,1.969212,-0.827035
-0.457547,1.969971,-0.827035
-0.456904,1.970737,-0.827035
-0.456256,1.971511,-0.827035
-0.455626,1.972262,-0.827035
-0.454970,1.973043,-0.827035
-0.454327,1.973809,-0.827035
-0.451208,1.972810,-0.827035
-0.449502,1.972410,-0.827035
-0.448640,1.972953,-0.827035
-0.448004,1.973699,-0.827035
-0.447379,1.974454,-0.827035
-0.446760,1.975188,-0.827035
-0.446343,1.976104,-0.827035
-0.452683,1.982938,-0.827035
-0.453720,1.984735,-0.827035
-0.453427,1.985729,-0.827035
-0.452760,1.986540,-0.827035
-0.452105,1.987322,-0.827035
-0.451444,1.988112,-0.827035
-0.450778,1.988911,-0.827035
-0.450097,1.989724,-0.827035
-0.449410,1.990544,-0.827035
-0.448743,1.991342,-0.827035
-0.448093,1.992115,-0.827035
-0.447446,1.992890,-0.827035
-0.446803,1.993656,-0.827035
-0.446167,1.994415,-0.827035
-0.445519,1.995189,-0.827035
-0.444830,1.996008,-0.827035
-0.444188,1.996775,-0.827035
-0.443571,1.997510,-0.827035
-0.442961,1.998238,-0.827035
-0.442331,1.998990,-0.827035
-0.441720,1.999717,-0.827035
-0.441104,2.000453,-0.827035
-0.440428,2.001256,-0.827035
-0.439772,2.002038,-0.827035
-0.439143,2.002788,-0.827035
-0.438487,2.003569,-0.827035
-0.437832,2.004350,-0.827035
-0.437189,2.005116,-0.827035
-0.436553,2.005875,-0.827035
-0.435898,2.006657,-0.827035
-0.435261,2.007415,-0.827035
-0.434606,2.008197,-0.827035
-0.433949,2.008977,-0.827035
-0.433287,2.009766,-0.827035
-0.432645,2.010532,-0.827035
-0.432080,2.011351,-0.827035
-0.432179,2.012688,-0.827035
-0.431781,2.013581,-0.827035
-0.432097,2.015086,-0.827035
-0.431746,2.016032,-0.827035
-0.431158,2.016752,-0.827035
-0.430542,2.017488,-0.827035
-0.429913,2.018240,-0.827035
-0.429246,2.019038,-0.827035
-0.428584,2.019827,-0.827035
-0.427916,2.020624,-0.827035
-0.427255,2.021414,-0.827035
-0.426683,2.022304,-0.827035
-0.428151,2.025142,-0.827035
-0.429383,2.027233,-0.827035
-0.429390,2.028531,-0.827035
-0.428743,2.029359,-0.827035
-0.428113,2.030123,-0.827035
-0.427471,2.030889,-0.827035
-0.426822,2.031664,-0.827035
-0.426124,2.032501,-0.827035
-0.425468,2.033282,-0.827035
-0.424852,2.034018,-0.827035
-0.424241,2.034746,-0.827035
-0.423614,2.035499,-0.827035
-0.423009,2.036218,-0.827035
-0.422399,2.036946,-0.827035
-0.421738,2.037736,-0.827035
-0.421081,2.038517,-0.827035
-0.420452,2.039268,-0.827035
-0.419796,2.040049,-0.827035
-0.419134,2.040839,-0.827035
-0.418479,2.041620,-0.827035
-0.417829,2.042393,-0.827035
-0.417168,2.043183,-0.827035
-0.416525,2.043949,-0.827035
-0.415863,2.044738,-0.827035
-0.415213,2.045511,-0.827035
-0.414545,2.046308,-0.827035
-0.413916,2.047059,-0.827035
-0.413286,2.047810,-0.827035
-0.412668,2.048545,-0.827035
-0.412057,2.049273,-0.827035
-0.411630,2.050141,-0.827035
-0.412017,2.051746,-0.827035
-0.411596,2.052593,-0.827035
-0.410964,2.053355,-0.827035
-0.410326,2.054112,-0.827035
-0.409666,2.054903,-0.827035
-0.409011,2.055685,-0.827035
-0.408368,2.056451,-0.827035
-0.407674,2.057278,-0.827035
-0.407018,2.058059,-0.827035
-0.406349,2.058855,-0.827035
-0.405707,2.059622,-0.827035
-0.405063,2.060388,-0.827035
-0.404414,2.061161,-0.827035
-0.403771,2.061927,-0.827035
-0.403531,2.063005,-0.827035
-0.405468,2.066197,-0.827035
-0.407799,2.069340,-0.827035
-0.408927,2.071631,-0.827035
-0.408615,2.072597,-0.827035
-0.407993,2.073341,-0.827035
-0.407377,2.074078,-0.827035
-0.406800,2.074768,-0.827035
-0.406195,2.075488,-0.827035
-0.405527,2.076285,-0.827035
-0.404885,2.077052,-0.827035
-0.404243,2.077818,-0.827035
-0.403573,2.078614,-0.827035
-0.402905,2.079410,-0.827035
-0.402249,2.080192,-0.827035
-0.401601,2.080965,-0.827035
-0.400939,2.081754,-0.827035
-0.400309,2.082505,-0.827035
-0.399653,2.083286,-0.827035
-0.399012,2.084053,-0.827035
-0.398349,2.084842,-0.827035
-0.397720,2.085593,-0.827035
-0.397083,2.086351,-0.827035
-0.396466,2.087087,-0.827035
-0.395841,2.087829,-0.827035
-0.395219,2.088573,-0.827035
-0.394596,2.089316,-0.827035
-0.393991,2.090035,-0.827035
-0.393362,2.090787,-0.827035
-0.392719,2.091553,-0.827035
-0.392049,2.092349,-0.827035
-0.391407,2.093116,-0.827035
-0.390758,2.093889,-0.827035
-0.390089,2.094685,-0.827035
-0.389427,2.095474,-0.827035
-0.388758,2.096271,-0.827035
-0.388109,2.097070,-0.827035
-0.387558,2.097927,-0.827035
-0.387972,2.099579,-0.827035
-0.388372,2.101246,-0.827035
-0.388184,2.102394,-0.827035
-0.387541,2.103187,-0.827035
