3D_003,24
FileName,C:\MLP_Data\20221019-strategy-2+40-3.csv
Type of measurement data,3D data in details.
Number of points in X direction,1955
Number of points in Y direction,1
Max. in X direction,-1.820949
Min. in X direction,2.628718
Max. in Y direction,-0.838064
Min. in Y direction,-0.838194
Max. in Z direction,0.517212
Min. in Z direction,-0.604123
Ave. in Z direction,-0.044232
Data Name,Polygon data(The 1 profiles AZ=-140deg.)
Pitch,Tracing axis : ,0.001000,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.001000,Stepping axis : ,0.000000
Range,Tracing axis : ,1.954000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.604123,1.823084,-0.838124
-0.604022,1.823639,-0.838124
-0.603252,1.825147,-0.838124
-0.602885,1.825478,-0.838124
-0.602355,1.826809,-0.838124
-0.602037,1.827404,-0.838124
-0.601211,1.828695,-0.838124
-0.601045,1.829065,-0.838124
-0.600484,1.829900,-0.838124
-0.599615,1.831324,-0.838124
-0.599224,1.831910,-0.838124
-0.598793,1.833206,-0.838124
-0.598229,1.833790,-0.838124
-0.598027,1.834365,-0.838124
-0.597395,1.835610,-0.838124
-0.596694,1.836758,-0.838124
-0.596554,1.837136,-0.838124
-0.595983,1.838132,-0.838124
-0.595616,1.838843,-0.838124
-0.594902,1.840163,-0.838124
-0.594657,1.840570,-0.838124
-0.594223,1.841395,-0.838124
-0.593736,1.842251,-0.838124
-0.593184,1.843133,-0.838124
-0.592526,1.844474,-0.838124
-0.591979,1.845464,-0.838124
-0.591656,1.845924,-0.838124
-0.591147,1.846855,-0.838124
-0.590609,1.847773,-0.838124
-0.589919,1.849323,-0.838124
-0.589322,1.849788,-0.838124
-0.588938,1.850980,-0.838124
-0.588614,1.851269,-0.838124
-0.588040,1.852615,-0.838124
-0.587539,1.853630,-0.838124
-0.587105,1.854128,-0.838124
-0.586612,1.855111,-0.838124
-0.586171,1.855942,-0.838124
-0.585685,1.856774,-0.838124
-0.585198,1.857671,-0.838124
-0.584673,1.858497,-0.838124
-0.584187,1.859368,-0.838124
-0.583688,1.860268,-0.838124
-0.583142,1.861129,-0.838124
-0.582656,1.862013,-0.838124
-0.582138,1.862936,-0.838124
-0.581670,1.863810,-0.838124
-0.581155,1.864709,-0.838124
-0.580687,1.865596,-0.838124
-0.580185,1.866493,-0.838124
-0.579684,1.867404,-0.838124
-0.579183,1.868302,-0.838124
-0.578685,1.869228,-0.838124
-0.578189,1.870144,-0.838124
-0.577695,1.870995,-0.838124
-0.577179,1.871933,-0.838124
-0.576630,1.873326,-0.838124
-0.576115,1.874239,-0.838124
-0.575516,1.875042,-0.838124
-0.575291,1.875662,-0.838124
-0.574923,1.876228,-0.838124
-0.574491,1.877066,-0.838124
-0.573977,1.877980,-0.838124
-0.573273,1.879321,-0.838124
-0.572858,1.880095,-0.838124
-0.572321,1.881146,-0.838124
-0.571901,1.881603,-0.838124
-0.571366,1.882512,-0.838124
-0.570953,1.883510,-0.838124
-0.570417,1.884444,-0.838124
-0.569896,1.885325,-0.838124
-0.569421,1.886218,-0.838124
-0.568925,1.887108,-0.838124
-0.568425,1.888046,-0.838124
-0.567891,1.888930,-0.838124
-0.566760,1.889664,-0.838124
-0.566802,1.891266,-0.838124
-0.566332,1.891811,-0.838124
-0.565873,1.892417,-0.838124
-0.565439,1.893294,-0.838124
-0.564986,1.894232,-0.838124
-0.564489,1.895067,-0.838124
-0.563914,1.895878,-0.838124
-0.563265,1.896978,-0.838124
-0.563013,1.898346,-0.838124
-0.562530,1.898920,-0.838124
-0.562252,1.899692,-0.838124
-0.561240,1.900605,-0.838124
-0.560793,1.901535,-0.838124
-0.560310,1.902736,-0.838124
-0.560000,1.903076,-0.838124
-0.559420,1.904443,-0.838124
-0.558980,1.905340,-0.838124
-0.558610,1.905930,-0.838124
-0.557994,1.906693,-0.838124
-0.557628,1.907822,-0.838124
-0.556940,1.909111,-0.838124
-0.556496,1.909300,-0.838124
-0.556237,1.910349,-0.838124
-0.555445,1.911264,-0.838124
-0.555288,1.912490,-0.838124
-0.554522,1.913022,-0.838124
-0.554163,1.914274,-0.838124
-0.553895,1.915028,-0.838124
-0.553097,1.916094,-0.838124
-0.552678,1.916408,-0.838124
-0.552283,1.917435,-0.838124
-0.551801,1.918336,-0.838124
-0.551201,1.919203,-0.838124
-0.550698,1.920087,-0.838124
-0.550316,1.921594,-0.838124
-0.549677,1.922089,-0.838124
-0.549175,1.923260,-0.838124
-0.548341,1.923696,-0.838124
-0.548060,1.924830,-0.838124
-0.547732,1.925574,-0.838124
-0.547233,1.926434,-0.838124
-0.546646,1.927612,-0.838124
-0.546112,1.928600,-0.838124
-0.545666,1.929505,-0.838124
-0.545221,1.930216,-0.838124
-0.544605,1.931265,-0.838124
-0.544274,1.931548,-0.838124
-0.543947,1.932632,-0.838124
-0.543125,1.933587,-0.838124
-0.542715,1.934248,-0.838124
-0.542259,1.935393,-0.838124
-0.541864,1.936262,-0.838124
-0.541361,1.937733,-0.838124
-0.540691,1.938516,-0.838124
-0.540106,1.939239,-0.838124
-0.539756,1.939767,-0.838124
-0.539135,1.941100,-0.838124
-0.538595,1.941756,-0.838124
-0.538431,1.942494,-0.838124
-0.537855,1.943381,-0.838124
-0.537357,1.944230,-0.838124
-0.536956,1.945107,-0.838124
-0.536419,1.945922,-0.838124
-0.535974,1.946816,-0.838124
-0.535483,1.947605,-0.838124
-0.534974,1.948444,-0.838124
-0.534468,1.949337,-0.838124
-0.533932,1.950232,-0.838124
-0.533460,1.951167,-0.838124
-0.532878,1.952037,-0.838124
-0.532294,1.953244,-0.838124
-0.531942,1.953888,-0.838124
-0.531436,1.954821,-0.838124
-0.530825,1.955667,-0.838124
-0.530280,1.956893,-0.838124
-0.529970,1.957573,-0.838124
-0.529431,1.958452,-0.838124
-0.528926,1.959386,-0.838124
-0.528419,1.960358,-0.838124
-0.527886,1.961255,-0.838124
-0.527387,1.962115,-0.838124
-0.526924,1.962967,-0.838124
-0.526492,1.963805,-0.838124
-0.526023,1.964978,-0.838124
-0.525653,1.965960,-0.838124
-0.525267,1.966523,-0.838124
-0.524484,1.967654,-0.838124
-0.524104,1.968641,-0.838124
-0.523663,1.969733,-0.838124
-0.523267,1.970158,-0.838124
-0.522660,1.971319,-0.838124
-0.522204,1.971954,-0.838124
-0.521644,1.972894,-0.838124
-0.520829,1.973960,-0.838124
-0.520525,1.974514,-0.838124
-0.519980,1.975871,-0.838124
-0.519613,1.976373,-0.838124
-0.519061,1.977515,-0.838124
-0.518585,1.978383,-0.838124
-0.518138,1.979038,-0.838124
-0.517678,1.979984,-0.838124
-0.517243,1.980807,-0.838124
-0.516578,1.982220,-0.838124
-0.516043,1.982894,-0.838124
-0.515885,1.983844,-0.838124
-0.515404,1.984576,-0.838124
-0.514939,1.985113,-0.838124
-0.514358,1.986036,-0.838124
-0.513837,1.986917,-0.838124
-0.513120,1.988234,-0.838124
-0.512737,1.988644,-0.838124
-0.512351,1.989717,-0.838124
-0.511791,1.990618,-0.838124
-0.511281,1.991574,-0.838124
-0.510713,1.992455,-0.838124
-0.510236,1.993360,-0.838124
-0.509680,1.994185,-0.838124
-0.509127,1.995066,-0.838124
-0.508718,1.996094,-0.838124
-0.508191,1.996983,-0.838124
-0.507708,1.997844,-0.838124
-0.507244,1.998721,-0.838124
-0.506760,1.999542,-0.838124
-0.506257,2.000373,-0.838124
-0.505789,2.001220,-0.838124
-0.505323,2.002096,-0.838124
-0.504808,2.003034,-0.838124
-0.504301,2.003940,-0.838124
-0.503816,2.004852,-0.838124
-0.503337,2.005742,-0.838124
-0.502819,2.006652,-0.838124
-0.502323,2.007528,-0.838124
-0.501840,2.008402,-0.838124
-0.501373,2.009303,-0.838124
-0.500920,2.010267,-0.838124
-0.500372,2.011125,-0.838124
-0.499731,2.012311,-0.838124
-0.499403,2.012884,-0.838124
-0.498871,2.013756,-0.838124
-0.498354,2.014693,-0.838124
-0.497892,2.015597,-0.838124
-0.497413,2.016423,-0.838124
-0.496943,2.017256,-0.838124
-0.496486,2.018138,-0.838124
-0.496021,2.018949,-0.838124
-0.495473,2.020108,-0.838124
-0.495124,2.020703,-0.838124
-0.494500,2.021903,-0.838124
-0.494122,2.022499,-0.838124
-0.493559,2.023371,-0.838124
-0.493067,2.024316,-0.838124
-0.492534,2.025305,-0.838124
-0.491966,2.026199,-0.838124
-0.491333,2.027560,-0.838124
-0.491046,2.028077,-0.838124
-0.490465,2.028960,-0.838124
-0.489829,2.030253,-0.838124
-0.489526,2.030783,-0.838124
-0.488977,2.031654,-0.838124
-0.488502,2.032613,-0.838124
-0.488000,2.033549,-0.838124
-0.487501,2.034357,-0.838124
-0.487047,2.035217,-0.838124
-0.486573,2.036124,-0.838124
-0.486069,2.036968,-0.838124
-0.485606,2.038106,-0.838124
-0.485260,2.038822,-0.838124
-0.484660,2.039675,-0.838124
-0.484113,2.040520,-0.838124
-0.483614,2.041446,-0.838124
-0.483112,2.042331,-0.838124
-0.482680,2.043235,-0.838124
-0.482166,2.044096,-0.838124
-0.481624,2.044998,-0.838124
-0.481125,2.045898,-0.838124
-0.480638,2.046808,-0.838124
-0.480131,2.047714,-0.838124
-0.479642,2.048609,-0.838124
-0.479147,2.049512,-0.838124
-0.478638,2.050404,-0.838124
-0.478177,2.051270,-0.838124
-0.477702,2.052111,-0.838124
-0.477058,2.053425,-0.838124
-0.476775,2.054023,-0.838124
-0.476536,2.055258,-0.838124
-0.476255,2.055792,-0.838124
-0.475761,2.056684,-0.838124
-0.475072,2.057463,-0.838124
-0.474299,2.058747,-0.838124
-0.473726,2.059688,-0.838124
-0.473280,2.060646,-0.838124
-0.472570,2.061460,-0.838124
-0.472342,2.061921,-0.838124
-0.471778,2.063106,-0.838124
-0.471326,2.063771,-0.838124
-0.470786,2.064610,-0.838124
-0.470351,2.065537,-0.838124
-0.469770,2.066734,-0.838124
-0.469313,2.067564,-0.838124
-0.468834,2.068246,-0.838124
-0.468285,2.069417,-0.838124
-0.467726,2.070476,-0.838124
-0.467388,2.070897,-0.838124
-0.466754,2.072258,-0.838124
-0.466246,2.073202,-0.838124
-0.465976,2.073550,-0.838124
-0.465451,2.074636,-0.838124
-0.464925,2.075592,-0.838124
-0.464490,2.076193,-0.838124
-0.464017,2.077101,-0.838124
-0.463479,2.078295,-0.838124
-0.463058,2.078920,-0.838124
-0.462471,2.079733,-0.838124
-0.461889,2.081125,-0.838124
-0.461442,2.081898,-0.838124
-0.461072,2.082619,-0.838124
-0.460507,2.083477,-0.838124
-0.459857,2.084367,-0.838124
-0.459351,2.085744,-0.838124
-0.458899,2.086383,-0.838124
-0.458490,2.087254,-0.838124
-0.458058,2.087844,-0.838124
-0.457484,2.088550,-0.838124
-0.457235,2.089621,-0.838124
-0.456687,2.090415,-0.838124
-0.456096,2.091564,-0.838124
-0.455561,2.092681,-0.838124
-0.455204,2.093061,-0.838124
-0.454726,2.094330,-0.838124
-0.454345,2.095029,-0.838124
-0.453781,2.095913,-0.838124
-0.453102,2.097080,-0.838124
-0.452638,2.097891,-0.838124
-0.452189,2.098571,-0.838124
-0.451715,2.099427,-0.838124
-0.451216,2.100457,-0.838124
-0.450734,2.101280,-0.838124
-0.450221,2.102194,-0.838124
-0.449777,2.103180,-0.838124
-0.449289,2.104075,-0.838124
-0.448415,2.105365,-0.838124
-0.448190,2.105764,-0.838124
-0.447563,2.107209,-0.838124
-0.446962,2.107918,-0.838124
-0.446754,2.108332,-0.838124
-0.446249,2.109448,-0.838124
-0.445819,2.110092,-0.838124
-0.445483,2.111129,-0.838124
-0.444910,2.111966,-0.838124
-0.444327,2.112782,-0.838124
-0.443836,2.113703,-0.838124
-0.443324,2.114591,-0.838124
-0.442789,2.115472,-0.838124
-0.442282,2.116378,-0.838124
-0.441785,2.117319,-0.838124
-0.441215,2.118160,-0.838124
-0.440655,2.119217,-0.838124
-0.440308,2.119944,-0.838124
-0.439819,2.120800,-0.838124
-0.439192,2.121984,-0.838124
-0.438833,2.122596,-0.838124
-0.438357,2.123411,-0.838124
-0.437761,2.124543,-0.838124
-0.437352,2.125231,-0.838124
-0.436946,2.126000,-0.838124
-0.436467,2.127164,-0.838124
-0.436056,2.127838,-0.838124
-0.435401,2.129220,-0.838124
-0.435130,2.129684,-0.838124
-0.434485,2.130566,-0.838124
-0.433846,2.131609,-0.838124
-0.433439,2.132338,-0.838124
-0.432939,2.133237,-0.838124
-0.432274,2.134494,-0.838124
-0.431936,2.135085,-0.838124
-0.431403,2.135943,-0.838124
-0.430802,2.137175,-0.838124
-0.430447,2.137790,-0.838124
-0.429882,2.138687,-0.838124
-0.429387,2.139616,-0.838124
-0.428908,2.140572,-0.838124
-0.428432,2.141386,-0.838124
-0.427949,2.142196,-0.838124
-0.427416,2.143589,-0.838124
-0.426879,2.144457,-0.838124
-0.426515,2.145405,-0.838124
-0.426004,2.146007,-0.838124
-0.425650,2.146650,-0.838124
-0.425153,2.147708,-0.838124
-0.424717,2.148504,-0.838124
-0.423999,2.149846,-0.838124
-0.423608,2.150184,-0.838124
-0.423274,2.151235,-0.838124
-0.422901,2.152267,-0.838124
-0.422243,2.153059,-0.838124
-0.421792,2.154013,-0.838124
-0.421091,2.154691,-0.838124
-0.420367,2.155362,-0.838124
-0.419629,2.156518,-0.838124
-0.419053,2.157314,-0.838124
-0.418961,2.158778,-0.838124
-0.418271,2.159034,-0.838124
-0.418165,2.160694,-0.838124
-0.417328,2.160540,-0.838124
-0.417275,2.162349,-0.838124
-0.416917,2.162611,-0.838124
-0.416352,2.163416,-0.838124
-0.415756,2.164313,-0.838124
-0.415296,2.165611,-0.838124
-0.414851,2.166203,-0.838124
-0.414339,2.167392,-0.838124
-0.413906,2.168100,-0.838124
-0.413158,2.169521,-0.838124
-0.412608,2.170470,-0.838124
-0.412120,2.171130,-0.838124
-0.411584,2.172129,-0.838124
-0.411128,2.173039,-0.838124
-0.410662,2.173901,-0.838124
-0.410398,2.174515,-0.838124
-0.409614,2.175907,-0.838124
-0.409062,2.176802,-0.838124
-0.408666,2.177565,-0.838124
-0.408303,2.178267,-0.838124
-0.407679,2.179152,-0.838124
-0.407172,2.179798,-0.838124
-0.406755,2.180427,-0.838124
-0.406317,2.181939,-0.838124
-0.405684,2.182556,-0.838124
-0.405286,2.183424,-0.838124
-0.404725,2.184597,-0.838124
-0.404529,2.185033,-0.838124
-0.403979,2.186099,-0.838124
-0.403531,2.186860,-0.838124
-0.403099,2.187776,-0.838124
-0.402489,2.188596,-0.838124
-0.402016,2.189516,-0.838124
-0.401458,2.190405,-0.838124
-0.400993,2.191282,-0.838124
-0.400301,2.192385,-0.838124
-0.399948,2.193772,-0.838124
-0.399633,2.194018,-0.838124
-0.399251,2.194950,-0.838124
-0.398283,2.196135,-0.838124
-0.398196,2.196558,-0.838124
-0.397619,2.197340,-0.838124
-0.397224,2.198197,-0.838124
-0.396675,2.199055,-0.838124
-0.396188,2.199938,-0.838124
-0.395660,2.200840,-0.838124
-0.395107,2.201759,-0.838124
-0.394606,2.202710,-0.838124
-0.394108,2.203650,-0.838124
-0.393594,2.204550,-0.838124
-0.393062,2.205500,-0.838124
-0.392586,2.206393,-0.838124
-0.392095,2.207326,-0.838124
-0.391595,2.208198,-0.838124
-0.391089,2.209079,-0.838124
-0.390474,2.210391,-0.838124
-0.390168,2.210956,-0.838124
-0.389612,2.211769,-0.838124
-0.389111,2.212641,-0.838124
-0.388648,2.213545,-0.838124
-0.388128,2.214414,-0.838124
-0.387658,2.215273,-0.838124
-0.387232,2.216143,-0.838124
-0.386676,2.217072,-0.838124
-0.386047,2.218111,-0.838124
-0.385656,2.218880,-0.838124
-0.385425,2.219965,-0.838124
-0.385134,2.221014,-0.838124
-0.384520,2.222417,-0.838124
-0.384191,2.223133,-0.838124
-0.383608,2.224380,-0.838124
-0.383230,2.224651,-0.838124
-0.382767,2.225607,-0.838124
-0.381646,2.226611,-0.838124
-0.381043,2.227449,-0.838124
-0.380647,2.228462,-0.838124
-0.380071,2.229075,-0.838124
-0.379734,2.229589,-0.838124
-0.379082,2.230935,-0.838124
-0.378860,2.231349,-0.838124
-0.378460,2.232162,-0.838124
-0.378048,2.233069,-0.838124
-0.377538,2.234286,-0.838124
-0.377181,2.234901,-0.838124
-0.376390,2.236169,-0.838124
-0.376127,2.236692,-0.838124
-0.375438,2.237471,-0.838124
-0.375044,2.238498,-0.838124
-0.374236,2.239857,-0.838124
-0.373870,2.240646,-0.838124
-0.373393,2.241460,-0.838124
-0.373000,2.242110,-0.838124
-0.372516,2.242956,-0.838124
-0.372032,2.243947,-0.838124
-0.371288,2.245307,-0.838124
-0.370890,2.245626,-0.838124
-0.370471,2.246958,-0.838124
-0.369786,2.248067,-0.838124
-0.369336,2.249008,-0.838124
-0.368817,2.249500,-0.838124
-0.368375,2.250108,-0.838124
-0.367825,2.251370,-0.838124
-0.367537,2.251832,-0.838124
-0.367157,2.252780,-0.838124
-0.366602,2.253724,-0.838124
-0.365930,2.255053,-0.838124
-0.365403,2.256007,-0.838124
-0.364883,2.256942,-0.838124
-0.364533,2.257210,-0.838124
-0.364173,2.258239,-0.838124
-0.363441,2.259688,-0.838124
-0.362888,2.260268,-0.838124
-0.362484,2.260895,-0.838124
-0.361910,2.262162,-0.838124
-0.361564,2.262603,-0.838124
-0.361213,2.263574,-0.838124
-0.360585,2.264522,-0.838124
-0.360128,2.265391,-0.838124
-0.359729,2.266218,-0.838124
-0.359214,2.267053,-0.838124
-0.358728,2.267911,-0.838124
-0.358255,2.268741,-0.838124
-0.357776,2.269553,-0.838124
-0.357249,2.270468,-0.838124
-0.356733,2.271355,-0.838124
-0.356258,2.272234,-0.838124
-0.355726,2.273172,-0.838124
-0.355227,2.274098,-0.838124
-0.354708,2.275033,-0.838124
-0.354213,2.275910,-0.838124
-0.353703,2.276840,-0.838124
-0.353212,2.277720,-0.838124
-0.352725,2.278617,-0.838124
-0.352224,2.279528,-0.838124
-0.351712,2.280456,-0.838124
-0.351218,2.281360,-0.838124
-0.350715,2.282361,-0.838124
-0.350093,2.283876,-0.838124
-0.349578,2.284697,-0.838124
-0.349077,2.285490,-0.838124
-0.348823,2.285813,-0.838124
-0.348440,2.286757,-0.838124
-0.347946,2.287622,-0.838124
-0.347391,2.288462,-0.838124
-0.346953,2.289400,-0.838124
-0.346383,2.290266,-0.838124
-0.345927,2.291189,-0.838124
-0.345374,2.292043,-0.838124
-0.344882,2.292949,-0.838124
-0.344390,2.293841,-0.838124
-0.343855,2.294737,-0.838124
-0.343352,2.295633,-0.838124
-0.342842,2.296589,-0.838124
-0.342341,2.297487,-0.838124
-0.341870,2.298332,-0.838124
-0.341360,2.299248,-0.838124
-0.340863,2.300150,-0.838124
-0.340397,2.300999,-0.838124
-0.339929,2.301847,-0.838124
-0.339455,2.302702,-0.838124
-0.338976,2.303567,-0.838124
-0.338503,2.304423,-0.838124
-0.338088,2.305276,-0.838124
-0.337620,2.306266,-0.838124
-0.336936,2.307755,-0.838124
-0.336391,2.308225,-0.838124
-0.335904,2.309513,-0.838124
-0.335433,2.310032,-0.838124
-0.334828,2.311234,-0.838124
-0.334305,2.312113,-0.838124
-0.333935,2.312926,-0.838124
-0.333575,2.313485,-0.838124
-0.333054,2.314706,-0.838124
-0.332419,2.315949,-0.838124
-0.332161,2.316319,-0.838124
-0.331185,2.317380,-0.838124
-0.330901,2.318669,-0.838124
-0.330551,2.319120,-0.838124
-0.329877,2.320264,-0.838124
-0.329353,2.320829,-0.838124
-0.328903,2.321549,-0.838124
-0.328500,2.322216,-0.838124
-0.328123,2.323597,-0.838124
-0.327705,2.324185,-0.838124
-0.327109,2.325017,-0.838124
-0.326649,2.326106,-0.838124
-0.326026,2.327215,-0.838124
-0.325650,2.327774,-0.838124
-0.325210,2.328710,-0.838124
-0.324735,2.329643,-0.838124
-0.323996,2.331112,-0.838124
-0.323627,2.331337,-0.838124
-0.323221,2.332328,-0.838124
-0.322668,2.333443,-0.838124
-0.322223,2.334101,-0.838124
-0.321787,2.335015,-0.838124
-0.321216,2.335907,-0.838124
-0.320769,2.336785,-0.838124
-0.320284,2.337618,-0.838124
-0.319803,2.338466,-0.838124
-0.319281,2.339321,-0.838124
-0.318799,2.340143,-0.838124
-0.318340,2.340959,-0.838124
-0.317847,2.341864,-0.838124
-0.317350,2.342765,-0.838124
-0.316844,2.343659,-0.838124
-0.316329,2.344598,-0.838124
-0.315835,2.345527,-0.838124
-0.315301,2.346451,-0.838124
-0.314808,2.347355,-0.838124
-0.314287,2.348328,-0.838124
-0.313769,2.349224,-0.838124
-0.313286,2.350125,-0.838124
-0.312712,2.351615,-0.838124
-0.312149,2.352591,-0.838124
-0.311642,2.353497,-0.838124
-0.311240,2.353760,-0.838124
-0.310618,2.355249,-0.838124
-0.310351,2.355573,-0.838124
-0.309915,2.356447,-0.838124
-0.309411,2.357290,-0.838124
-0.308936,2.358158,-0.838124
-0.308415,2.359001,-0.838124
-0.307906,2.359905,-0.838124
-0.307386,2.360813,-0.838124
-0.306884,2.361697,-0.838124
-0.306395,2.362631,-0.838124
-0.306037,2.364067,-0.838124
-0.305702,2.364621,-0.838124
-0.304802,2.365916,-0.838124
-0.304454,2.366589,-0.838124
-0.304002,2.367177,-0.838124
-0.303491,2.368027,-0.838124
-0.302941,2.369367,-0.838124
-0.302644,2.369901,-0.838124
-0.302195,2.370843,-0.838124
-0.301579,2.371736,-0.838124
-0.301021,2.372521,-0.838124
-0.300505,2.373328,-0.838124
-0.299933,2.374427,-0.838124
-0.299541,2.375064,-0.838124
-0.299110,2.375812,-0.838124
-0.298568,2.376911,-0.838124
-0.298112,2.377873,-0.838124
-0.297770,2.378539,-0.838124
-0.297009,2.379858,-0.838124
-0.296584,2.380768,-0.838124
-0.296288,2.381264,-0.838124
-0.295560,2.382402,-0.838124
-0.294785,2.383149,-0.838124
-0.294540,2.384405,-0.838124
-0.294166,2.385723,-0.838124
-0.293758,2.386046,-0.838124
-0.293440,2.387085,-0.838124
-0.293114,2.388495,-0.838124
-0.292506,2.389578,-0.838124
-0.292030,2.390328,-0.838124
-0.291611,2.390811,-0.838124
-0.290886,2.391874,-0.838124
-0.290538,2.392835,-0.838124
-0.289675,2.393599,-0.838124
-0.289299,2.394380,-0.838124
-0.289131,2.395166,-0.838124
-0.288365,2.396115,-0.838124
-0.287566,2.397143,-0.838124
-0.287150,2.397368,-0.838124
-0.286698,2.398489,-0.838124
-0.286232,2.399248,-0.838124
-0.285761,2.400170,-0.838124
-0.284942,2.401507,-0.838124
-0.284668,2.402060,-0.838124
-0.284139,2.403065,-0.838124
-0.283724,2.403643,-0.838124
-0.283170,2.404562,-0.838124
-0.282602,2.405378,-0.838124
-0.282213,2.406462,-0.838124
-0.281784,2.407381,-0.838124
-0.280842,2.408118,-0.838124
-0.280872,2.409449,-0.838124
-0.280265,2.410179,-0.838124
-0.279898,2.410772,-0.838124
