3D_003,24
FileName,C:\MLP_Data\20221019-strategy-2+40.csv
Type of measurement data,3D data in details.
Number of points in X direction,2069
Number of points in Y direction,1
Max. in X direction,-1.772780
Min. in X direction,2.625585
Max. in Y direction,-0.850304
Min. in Y direction,-0.850414
Max. in Z direction,0.541532
Min. in Z direction,-0.600787
Ave. in Z direction,-0.028236
Data Name,Polygon data(The 1 profiles AZ=-140deg.)
Pitch,Tracing axis : ,0.001000,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.001000,Stepping axis : ,0.000000
Range,Tracing axis : ,2.068000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.600787,1.825689,-0.850334
-0.600526,1.826253,-0.850334
-0.599716,1.827806,-0.850334
-0.599322,1.828455,-0.850334
-0.598864,1.829324,-0.850334
-0.598509,1.829783,-0.850334
-0.597906,1.830948,-0.850334
-0.597483,1.831690,-0.850334
-0.597006,1.832555,-0.850334
-0.596447,1.833470,-0.850334
-0.596036,1.834418,-0.850334
-0.595464,1.835217,-0.850334
-0.595012,1.836117,-0.850334
-0.594514,1.836939,-0.850334
-0.594064,1.837814,-0.850334
-0.593574,1.838643,-0.850334
-0.593145,1.839497,-0.850334
-0.592632,1.840895,-0.850334
-0.592289,1.841938,-0.850334
-0.591780,1.842634,-0.850334
-0.591013,1.843544,-0.850334
-0.590709,1.843954,-0.850334
-0.589894,1.845007,-0.850334
-0.589902,1.846006,-0.850334
-0.589107,1.847036,-0.850334
-0.588805,1.847879,-0.850334
-0.587985,1.848822,-0.850334
-0.587462,1.849571,-0.850334
-0.587149,1.850445,-0.850334
-0.586566,1.851339,-0.850334
-0.586157,1.852249,-0.850334
-0.585547,1.853173,-0.850334
-0.585083,1.854102,-0.850334
-0.584566,1.854908,-0.850334
-0.584093,1.855765,-0.850334
-0.583610,1.856639,-0.850334
-0.583145,1.857449,-0.850334
-0.582679,1.858312,-0.850334
-0.582130,1.859208,-0.850334
-0.581638,1.860154,-0.850334
-0.581141,1.861029,-0.850334
-0.580522,1.862233,-0.850334
-0.580181,1.862821,-0.850334
-0.579698,1.863696,-0.850334
-0.579214,1.864647,-0.850334
-0.578688,1.865576,-0.850334
-0.578180,1.866429,-0.850334
-0.577692,1.867325,-0.850334
-0.577203,1.868220,-0.850334
-0.576675,1.869148,-0.850334
-0.576208,1.870035,-0.850334
-0.575714,1.870952,-0.850334
-0.575252,1.871804,-0.850334
-0.574736,1.872625,-0.850334
-0.574282,1.873445,-0.850334
-0.573792,1.874326,-0.850334
-0.573353,1.875119,-0.850334
-0.572871,1.876008,-0.850334
-0.572416,1.876905,-0.850334
-0.571691,1.878346,-0.850334
-0.571370,1.878664,-0.850334
-0.570922,1.879698,-0.850334
-0.570372,1.880621,-0.850334
-0.569581,1.881706,-0.850334
-0.569424,1.883245,-0.850334
-0.569186,1.883620,-0.850334
-0.568782,1.885121,-0.850334
-0.568398,1.886039,-0.850334
-0.568052,1.886637,-0.850334
-0.567654,1.888000,-0.850334
-0.567165,1.888569,-0.850334
-0.566397,1.890026,-0.850334
-0.565809,1.890433,-0.850334
-0.565382,1.891000,-0.850334
-0.564520,1.892130,-0.850334
-0.563896,1.892873,-0.850334
-0.563393,1.893783,-0.850334
-0.563053,1.894046,-0.850334
-0.562672,1.895057,-0.850334
-0.561895,1.896403,-0.850334
-0.561339,1.897255,-0.850334
-0.560938,1.898276,-0.850334
-0.560279,1.899054,-0.850334
-0.560100,1.899557,-0.850334
-0.559601,1.900444,-0.850334
-0.558876,1.901780,-0.850334
-0.558354,1.902752,-0.850334
-0.557833,1.903346,-0.850334
-0.557386,1.903937,-0.850334
-0.557003,1.904816,-0.850334
-0.556443,1.906083,-0.850334
-0.555914,1.907245,-0.850334
-0.555583,1.907541,-0.850334
-0.555033,1.908699,-0.850334
-0.554563,1.909557,-0.850334
-0.554180,1.910463,-0.850334
