3D_003,24
FileName,C:\MLP_Data\20221020-2D-1.csv
Type of measurement data,3D data in details.
Number of points in X direction,663
Number of points in Y direction,1
Max. in X direction,-6.584941
Min. in X direction,7.237470
Max. in Y direction,6.859904
Min. in Y direction,6.859764
Max. in Z direction,0.232238
Min. in Z direction,-0.644040
Ave. in Z direction,-0.217989
Data Name,Polygon data(The 1 profiles AZ=-121deg.)
Pitch,Tracing axis : ,0.002000,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.002000,Stepping axis : ,0.000000
Range,Tracing axis : ,1.324000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,0.500000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.644040,6.584941,6.859844
-0.643184,6.585844,6.859844
-0.642292,6.588132,6.859844
-0.641129,6.591229,6.859844
-0.639700,6.592883,6.859844
-0.638690,6.595382,6.859844
-0.637410,6.596935,6.859844
-0.635915,6.599406,6.859844
-0.634925,6.600627,6.859844
-0.633747,6.601693,6.859844
-0.632675,6.604920,6.859844
-0.631494,6.606134,6.859844
-0.630047,6.608183,6.859844
-0.628618,6.610069,6.859844
-0.627210,6.612318,6.859844
-0.627029,6.614487,6.859844
-0.625922,6.615823,6.859844
-0.624875,6.618417,6.859844
-0.623452,6.619752,6.859844
-0.622521,6.621901,6.859844
-0.621408,6.623729,6.859844
-0.619944,6.626232,6.859844
-0.619442,6.628277,6.859844
-0.617763,6.630830,6.859844
-0.617255,6.632942,6.859844
-0.615696,6.634344,6.859844
-0.614551,6.637373,6.859844
-0.613283,6.638173,6.859844
-0.612548,6.640739,6.859844
-0.610649,6.642737,6.859844
-0.610037,6.643463,6.859844
-0.609420,6.647246,6.859844
-0.607754,6.648896,6.859844
-0.606261,6.650349,6.859844
-0.605748,6.652203,6.859844
-0.604029,6.654651,6.859844
-0.603403,6.655702,6.859844
-0.602337,6.658031,6.859844
-0.601083,6.660649,6.859844
-0.599571,6.662340,6.859844
-0.598495,6.664867,6.859844
-0.597734,6.666445,6.859844
-0.596591,6.668340,6.859844
-0.595510,6.669412,6.859844
-0.594537,6.671779,6.859844
-0.593259,6.673856,6.859844
-0.592200,6.675967,6.859844
-0.590937,6.677855,6.859844
-0.589552,6.680623,6.859844
-0.588666,6.681785,6.859844
-0.587352,6.684882,6.859844
-0.586693,6.686611,6.859844
-0.585144,6.688935,6.859844
-0.584338,6.689939,6.859844
-0.583178,6.692326,6.859844
-0.581916,6.695026,6.859844
-0.580526,6.696244,6.859844
-0.579877,6.698607,6.859844
-0.578209,6.701004,6.859844
-0.577662,6.701838,6.859844
-0.575799,6.703780,6.859844
-0.575421,6.707185,6.859844
-0.574375,6.709375,6.859844
-0.572823,6.710884,6.859844
-0.572472,6.713467,6.859844
-0.570804,6.714805,6.859844
-0.569507,6.716542,6.859844
-0.568343,6.718922,6.859844
-0.567205,6.720707,6.859844
-0.566389,6.722602,6.859844
-0.565033,6.724801,6.859844
-0.563595,6.726190,6.859844
-0.563042,6.728594,6.859844
-0.561296,6.730728,6.859844
-0.560559,6.731403,6.859844
-0.559008,6.734109,6.859844
-0.558010,6.735203,6.859844
-0.556380,6.738300,6.859844
-0.555382,6.740279,6.859844
-0.554700,6.742161,6.859844
-0.553777,6.743513,6.859844
-0.552882,6.745758,6.859844
-0.551743,6.747525,6.859844
-0.550679,6.749935,6.859844
-0.549650,6.752383,6.859844
-0.548262,6.755089,6.859844
-0.546922,6.756330,6.859844
-0.545385,6.758482,6.859844
-0.544465,6.760243,6.859844
