MLP-2 3D CSV
Version,1.00
File Name,20221020-3D-1.csv
Axis,Y,Z
Pitch,0.002000,0.000900
Range,0.751200,0.013900
Number of data,661,16
Total number of data storage,10320    
Data name,Polygon data(The 1 profiles AZ=-121deg.)
AF gain,Standard
AF sensor,Wide
Objective lens,LM100X
Laser offset,
Direction,Uni-direction +
Rotation center,X:,109.61152,Y:,61.53939,Z:,13.55202,AZ:,0.0000,EL:,0.000,AF:,-14.869084
Measuring time,2022/10/20,19:49:02,-,20:02:36
X,Y,Z
-0.645495,6.586973,6.866964
-0.644346,6.588375,6.866964
-0.643298,6.590196,6.866964
-0.641622,6.592503,6.866964
-0.641122,6.593240,6.866964
-0.639431,6.596391,6.866964
-0.638300,6.597592,6.866964
-0.637168,6.599621,6.866964
-0.635986,6.601470,6.866964
-0.634312,6.603820,6.866964
-0.633882,6.605963,6.866964
-0.632730,6.608017,6.866964
-0.631772,6.609388,6.866964
-0.630484,6.612123,6.866964
-0.629459,6.612940,6.866964
-0.628075,6.616017,6.866964
-0.626840,6.617529,6.866964
-0.626112,6.620398,6.866964
-0.624473,6.622110,6.866964
-0.623755,6.623104,6.866964
-0.622888,6.625705,6.866964
-0.621819,6.627837,6.866964
-0.620312,6.630540,6.866964
-0.619731,6.631356,6.866964
-0.618518,6.634078,6.866964
-0.617121,6.635824,6.866964
-0.616216,6.638401,6.866964
-0.614505,6.640476,6.866964
-0.613939,6.641105,6.866964
-0.611660,6.644268,6.866964
-0.611659,6.646002,6.866964
-0.610211,6.648107,6.866964
-0.609301,6.649055,6.866964
-0.608133,6.650889,6.866964
-0.607013,6.653112,6.866964
-0.605975,6.655796,6.866964
-0.605021,6.658291,6.866964
-0.603037,6.660458,6.866964
-0.602514,6.662122,6.866964
-0.601108,6.664527,6.866964
-0.600093,6.665977,6.866964
-0.599104,6.667970,6.866964
-0.597427,6.669545,6.866964
-0.596976,6.672098,6.866964
-0.595663,6.673885,6.866964
-0.594894,6.676126,6.866964
-0.593126,6.678803,6.866964
-0.592493,6.679668,6.866964
-0.591035,6.682721,6.866964
-0.589497,6.684793,6.866964
-0.588366,6.685493,6.866964
-0.588486,6.688081,6.866964
-0.586521,6.689816,6.866964
-0.585940,6.692347,6.866964
-0.583994,6.694462,6.866964
-0.583401,6.695258,6.866964
-0.582173,6.698343,6.866964
-0.581198,6.699743,6.866964
-0.579868,6.702196,6.866964
-0.578934,6.703452,6.866964
-0.578126,6.706054,6.866964
-0.576456,6.707542,6.866964
-0.575850,6.709685,6.866964
-0.574634,6.712500,6.866964
-0.573725,6.713932,6.866964
-0.572382,6.715516,6.866964
-0.570803,6.717329,6.866964
-0.569413,6.720416,6.866964
-0.568712,6.722346,6.866964
-0.566932,6.724557,6.866964
-0.566400,6.725569,6.866964
-0.565304,6.727734,6.866964
-0.564092,6.729246,6.866964
-0.562827,6.731035,6.866964
-0.561626,6.734106,6.866964
-0.561030,6.736460,6.866964
-0.559240,6.738637,6.866964
-0.558745,6.739536,6.866964
-0.557154,6.742408,6.866964
-0.555943,6.744325,6.866964
-0.554952,6.745218,6.866964
-0.554153,6.747641,6.866964
-0.553171,6.749839,6.866964
-0.551391,6.752168,6.866964
-0.550698,6.753165,6.866964
-0.549650,6.756046,6.866964
-0.548671,6.758307,6.866964
-0.546926,6.760540,6.866964
-0.545912,6.762859,6.866964
-0.544932,6.764406,6.866964
-0.543869,6.766721,6.866964
-0.542845,6.767443,6.866964
-0.541764,6.769652,6.866964
-0.541026,6.772310,6.866964
-0.539210,6.774040,6.866964
-0.538628,6.776783,6.866964
-0.536933,6.779194,6.866964
-0.536269,6.780104,6.866964
-0.534772,6.782456,6.866964
-0.533925,6.784685,6.866964
-0.532632,6.786890,6.866964
-0.531322,6.788644,6.866964
-0.530815,6.790411,6.866964
-0.529087,6.791843,6.866964
-0.528073,6.793950,6.866964
-0.527015,6.795330,6.866964
-0.525904,6.797413,6.866964
-0.524711,6.799706,6.866964
-0.523615,6.801736,6.866964
-0.522570,6.803753,6.866964
-0.521444,6.805734,6.866964
-0.520270,6.807557,6.866964
-0.518894,6.810378,6.866964
