3D_003,24
FileName,C:\RBL\20230424 D906\D906-1.csv
Type of measurement data,3D data in details.
Number of points in X direction,972
Number of points in Y direction,1
Max. in X direction,-2.016693
Min. in X direction,2.684078
Max. in Y direction,-0.782461
Min. in Y direction,-0.782661
Max. in Z direction,0.606551
Min. in Z direction,-0.287623
Ave. in Z direction,0.331675
Data Name,D906-1
Pitch,Tracing axis : ,0.005000,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.005000,Stepping axis : ,0.000000
Range,Tracing axis : ,4.855000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.287623,2.111130,-0.782561
-0.285013,2.116289,-0.782561
-0.282468,2.120759,-0.782561
-0.279813,2.124993,-0.782561
-0.277010,2.129834,-0.782561
-0.274802,2.133634,-0.782561
-0.272408,2.137225,-0.782561
-0.269967,2.141651,-0.782561
-0.267074,2.147069,-0.782561
-0.264615,2.151834,-0.782561
-0.262262,2.155890,-0.782561
-0.259605,2.160526,-0.782561
-0.256876,2.164895,-0.782561
-0.254738,2.168805,-0.782561
-0.252624,2.172932,-0.782561
-0.249922,2.177738,-0.782561
-0.247219,2.182246,-0.782561
-0.244441,2.187107,-0.782561
-0.241718,2.191624,-0.782561
-0.239625,2.195337,-0.782561
-0.237016,2.200418,-0.782561
-0.234537,2.204409,-0.782561
-0.231906,2.208963,-0.782561
-0.229257,2.213437,-0.782561
-0.227106,2.217089,-0.782561
-0.224373,2.221806,-0.782561
-0.221952,2.226563,-0.782561
-0.219523,2.230790,-0.782561
-0.216772,2.235414,-0.782561
-0.213937,2.240071,-0.782561
-0.211902,2.243755,-0.782561
-0.209589,2.247608,-0.782561
-0.206619,2.253510,-0.782561
-0.204292,2.257314,-0.782561
-0.201478,2.262158,-0.782561
-0.198878,2.266347,-0.782561
-0.196610,2.270384,-0.782561
-0.194042,2.275553,-0.782561
-0.191727,2.278793,-0.782561
-0.189292,2.283042,-0.782561
-0.187093,2.287397,-0.782561
-0.184117,2.292380,-0.782561
-0.181216,2.297661,-0.782561
-0.179411,2.300493,-0.782561
-0.176223,2.306577,-0.782561
-0.174115,2.309769,-0.782561
-0.171170,2.315430,-0.782561
-0.168979,2.318774,-0.782561
-0.166360,2.323337,-0.782561
-0.163861,2.328368,-0.782561
-0.161482,2.332076,-0.782561
-0.158733,2.336885,-0.782561
-0.156005,2.341149,-0.782561
-0.153733,2.345442,-0.782561
-0.151101,2.350479,-0.782561
-0.148962,2.354023,-0.782561
-0.146162,2.358788,-0.782561
-0.143595,2.363331,-0.782561
-0.140818,2.367854,-0.782561
-0.138784,2.371565,-0.782561
-0.136034,2.376881,-0.782561
-0.133718,2.380617,-0.782561
-0.131158,2.385048,-0.782561
-0.128918,2.388611,-0.782561
-0.126147,2.393595,-0.782561
-0.123795,2.397470,-0.782561
-0.120573,2.403669,-0.782561
-0.118454,2.406760,-0.782561
-0.116138,2.410913,-0.782561
