3D_003,24
FileName,C:\MLP_Data\RBL\20230504 D906\D906-3.csv
Type of measurement data,3D data in details.
Number of points in X direction,2085
Number of points in Y direction,1
Max. in X direction,-2.125839
Min. in X direction,2.604808
Max. in Y direction,-0.792110
Min. in Y direction,-0.792370
Max. in Z direction,0.409005
Min. in Z direction,-0.254214
Ave. in Z direction,0.069862
Data Name,D906-3
Pitch,Tracing axis : ,0.000500,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.000500,Stepping axis : ,0.000000
Range,Tracing axis : ,1.042000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.254214,2.125839,-0.792250
-0.253854,2.126242,-0.792250
-0.253401,2.126880,-0.792250
-0.253347,2.127174,-0.792250
-0.252880,2.127474,-0.792250
-0.252617,2.128441,-0.792250
-0.252516,2.128670,-0.792250
-0.251709,2.128854,-0.792250
-0.251862,2.129191,-0.792250
-0.251769,2.129714,-0.792250
-0.250673,2.129839,-0.792250
-0.250425,2.130440,-0.792250
-0.251056,2.130878,-0.792250
-0.250537,2.131448,-0.792250
-0.250291,2.132207,-0.792250
-0.250569,2.132584,-0.792250
-0.250337,2.133290,-0.792250
-0.250056,2.133943,-0.792250
-0.249455,2.134065,-0.792250
-0.248957,2.134430,-0.792250
-0.245304,2.131978,-0.792250
-0.243539,2.130784,-0.792250
-0.243318,2.131330,-0.792250
-0.243946,2.132562,-0.792250
-0.242575,2.131972,-0.792250
-0.242050,2.132185,-0.792250
-0.241742,2.132605,-0.792250
-0.241444,2.132929,-0.792250
-0.241110,2.133328,-0.792250
-0.240864,2.133787,-0.792250
-0.240559,2.134132,-0.792250
-0.240257,2.134492,-0.792250
-0.239970,2.134878,-0.792250
-0.240760,2.136402,-0.792250
-0.240684,2.137030,-0.792250
-0.240412,2.137194,-0.792250
-0.240057,2.137549,-0.792250
-0.239220,2.137865,-0.792250
-0.238830,2.137824,-0.792250
-0.238518,2.138189,-0.792250
-0.238196,2.138572,-0.792250
-0.237862,2.138970,-0.792250
-0.237395,2.139257,-0.792250
-0.237111,2.139632,-0.792250
-0.237176,2.140627,-0.792250
-0.237193,2.141046,-0.792250
-0.237151,2.141689,-0.792250
-0.236962,2.142171,-0.792250
-0.236625,2.142554,-0.792250
-0.236281,2.142970,-0.792250
-0.235528,2.143187,-0.792250
-0.235037,2.143309,-0.792250
-0.234715,2.143653,-0.792250
-0.234400,2.144042,-0.792250
-0.234059,2.144434,-0.792250
-0.233741,2.144833,-0.792250
-0.233423,2.145271,-0.792250
-0.239727,2.151422,-0.792250
-0.239459,2.151929,-0.792250
-0.239071,2.152347,-0.792250
-0.239053,2.152737,-0.792250
-0.238679,2.152958,-0.792250
-0.238468,2.153394,-0.792250
-0.238179,2.154090,-0.792250
-0.238070,2.154417,-0.792250
-0.237724,2.154962,-0.792250
-0.237523,2.155250,-0.792250
-0.237237,2.155781,-0.792250
-0.236991,2.155965,-0.792250
-0.236638,2.156191,-0.792250
-0.236418,2.157077,-0.792250
-0.236237,2.157187,-0.792250
-0.235809,2.157520,-0.792250
-0.235713,2.158053,-0.792250
-0.235516,2.158748,-0.792250
-0.235301,2.159195,-0.792250
-0.234956,2.159571,-0.792250
-0.234736,2.159869,-0.792250
-0.234480,2.160373,-0.792250
-0.234277,2.160855,-0.792250
-0.234160,2.161201,-0.792250
-0.233837,2.161947,-0.792250
-0.233327,2.162094,-0.792250
-0.233252,2.162554,-0.792250
-0.232893,2.163296,-0.792250
-0.232764,2.163567,-0.792250
-0.232424,2.164013,-0.792250
-0.232229,2.164450,-0.792250
-0.231936,2.164778,-0.792250
-0.231542,2.165452,-0.792250
-0.231494,2.165648,-0.792250
-0.231241,2.166101,-0.792250
-0.231025,2.166664,-0.792250
-0.230789,2.167001,-0.792250
-0.230483,2.167501,-0.792250
-0.230189,2.168038,-0.792250
-0.229916,2.168448,-0.792250
-0.229744,2.168813,-0.792250
-0.229491,2.169253,-0.792250
-0.229207,2.169707,-0.792250
-0.228959,2.170165,-0.792250
-0.228700,2.170626,-0.792250
-0.228393,2.171374,-0.792250
-0.228181,2.171861,-0.792250
-0.227862,2.172103,-0.792250
-0.227653,2.172346,-0.792250
-0.227526,2.172892,-0.792250
-0.227229,2.173256,-0.792250
-0.226960,2.173814,-0.792250
-0.226699,2.174286,-0.792250
-0.226468,2.174680,-0.792250
-0.226161,2.175244,-0.792250
-0.226046,2.175409,-0.792250
-0.225829,2.176089,-0.792250
-0.225427,2.176404,-0.792250
-0.225315,2.176793,-0.792250
-0.224979,2.177438,-0.792250
-0.224806,2.177567,-0.792250
-0.224596,2.178018,-0.792250
-0.224233,2.178718,-0.792250
-0.224000,2.179084,-0.792250
-0.223667,2.179601,-0.792250
-0.223449,2.180057,-0.792250
-0.223240,2.180405,-0.792250
-0.222937,2.180998,-0.792250
-0.222770,2.181146,-0.792250
-0.222438,2.181885,-0.792250
-0.222166,2.182323,-0.792250
-0.221956,2.182877,-0.792250
-0.221712,2.182960,-0.792250
-0.221469,2.183513,-0.792250
-0.221120,2.184173,-0.792250
-0.220976,2.184326,-0.792250
-0.220666,2.185058,-0.792250
-0.220475,2.185590,-0.792250
-0.220340,2.185751,-0.792250
-0.219849,2.186397,-0.792250
-0.219606,2.186754,-0.792250
-0.219453,2.187278,-0.792250
-0.219132,2.187518,-0.792250
-0.218946,2.187962,-0.792250
-0.218719,2.188294,-0.792250
-0.218454,2.188790,-0.792250
-0.218282,2.189207,-0.792250
-0.217995,2.189814,-0.792250
-0.217581,2.190224,-0.792250
-0.217529,2.190729,-0.792250
-0.217337,2.191168,-0.792250
-0.216868,2.191493,-0.792250
-0.216824,2.191756,-0.792250
