3D_003,24
FileName,C:\MLP_Data\RBL\20230504 V78427\D906-4.csv
Type of measurement data,3D data in details.
Number of points in X direction,3946
Number of points in Y direction,1
Max. in X direction,-1.761010
Min. in X direction,2.627780
Max. in Y direction,-0.801230
Min. in Y direction,-0.801330
Max. in Z direction,0.780738
Min. in Z direction,-0.313517
Ave. in Z direction,0.244510
Data Name,D906-4
Pitch,Tracing axis : ,0.000500,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.000500,Stepping axis : ,0.000000
Range,Tracing axis : ,1.972500,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.313517,1.912707,-0.801260
-0.313121,1.913341,-0.801260
-0.313120,1.913561,-0.801260
-0.312848,1.914247,-0.801260
-0.312730,1.914540,-0.801260
-0.312263,1.914984,-0.801260
-0.312124,1.915376,-0.801260
-0.311818,1.915876,-0.801260
-0.311584,1.916307,-0.801260
-0.311039,1.916906,-0.801260
-0.310955,1.917201,-0.801260
-0.310648,1.917636,-0.801260
-0.310347,1.918349,-0.801260
-0.310222,1.918636,-0.801260
-0.309788,1.919173,-0.801260
-0.309457,1.919496,-0.801260
-0.309436,1.920339,-0.801260
-0.309236,1.920498,-0.801260
-0.308772,1.920709,-0.801260
-0.308500,1.921499,-0.801260
-0.308417,1.921977,-0.801260
-0.307938,1.922098,-0.801260
-0.307854,1.922706,-0.801260
-0.307517,1.923298,-0.801260
-0.307431,1.923617,-0.801260
-0.306974,1.924135,-0.801260
-0.306950,1.924624,-0.801260
-0.306727,1.925142,-0.801260
-0.306326,1.925496,-0.801260
-0.305941,1.925918,-0.801260
-0.305905,1.926123,-0.801260
-0.305565,1.926908,-0.801260
-0.305141,1.927074,-0.801260
-0.305206,1.927494,-0.801260
-0.304869,1.927968,-0.801260
-0.304511,1.928295,-0.801260
-0.304445,1.928840,-0.801260
-0.304176,1.929136,-0.801260
-0.303954,1.929655,-0.801260
-0.303570,1.930181,-0.801260
-0.303310,1.930525,-0.801260
-0.303088,1.931122,-0.801260
-0.303019,1.931429,-0.801260
-0.302410,1.931884,-0.801260
-0.302164,1.932265,-0.801260
-0.302002,1.932769,-0.801260
-0.301703,1.933197,-0.801260
-0.301759,1.933923,-0.801260
-0.301468,1.934409,-0.801260
-0.301140,1.934826,-0.801260
-0.300903,1.935149,-0.801260
-0.300794,1.935724,-0.801260
-0.300716,1.936180,-0.801260
-0.300490,1.936630,-0.801260
-0.300353,1.937168,-0.801260
-0.300012,1.937587,-0.801260
-0.299576,1.937861,-0.801260
-0.298523,1.937878,-0.801260
-0.298846,1.938580,-0.801260
-0.298442,1.938867,-0.801260
-0.298165,1.939287,-0.801260
-0.298336,1.940084,-0.801260
-0.298004,1.940497,-0.801260
-0.297705,1.940886,-0.801260
-0.297376,1.941263,-0.801260
-0.297058,1.941648,-0.801260
-0.296703,1.941990,-0.801260
-0.295142,1.941306,-0.801260
-0.290750,1.938444,-0.801260
-0.289405,1.937811,-0.801260
-0.290110,1.939017,-0.801260
-0.290402,1.939836,-0.801260
-0.289995,1.940121,-0.801260
-0.288924,1.939810,-0.801260
-0.287919,1.939541,-0.801260
-0.285352,1.938262,-0.801260
-0.283285,1.937154,-0.801260
-0.280755,1.935671,-0.801260
-0.276857,1.933078,-0.801260
-0.275960,1.932861,-0.801260
-0.269568,1.928294,-0.801260
-0.266287,1.926154,-0.801260
-0.264808,1.925409,-0.801260
-0.264332,1.925597,-0.801260
-0.263998,1.925996,-0.801260
-0.263645,1.926418,-0.801260
-0.263319,1.926810,-0.801260
-0.262985,1.927208,-0.801260
-0.262644,1.927614,-0.801260
-0.258049,1.924685,-0.801260
-0.256316,1.923674,-0.801260
-0.255863,1.923934,-0.801260
-0.255532,1.924335,-0.801260
-0.255197,1.924720,-0.801260
-0.254895,1.925081,-0.801260
-0.254563,1.925467,-0.801260
-0.252723,1.924772,-0.801260
-0.252022,1.924680,-0.801260
-0.251997,1.925338,-0.801260
-0.250959,1.925054,-0.801260
-0.250581,1.925416,-0.801260
-0.250262,1.925801,-0.801260
-0.249632,1.925938,-0.801260
-0.248773,1.925883,-0.801260
-0.248432,1.926262,-0.801260
-0.248093,1.926670,-0.801260
-0.247766,1.927061,-0.801260
-0.247443,1.927443,-0.801260
-0.247136,1.927812,-0.801260
-0.246826,1.928179,-0.801260
-0.246524,1.928539,-0.801260
-0.246196,1.928929,-0.801260
-0.245888,1.929297,-0.801260
-0.245586,1.929657,-0.801260
-0.245284,1.930017,-0.801260
-0.244981,1.930377,-0.801260
-0.244667,1.930753,-0.801260
-0.244352,1.931128,-0.801260
-0.244043,1.931496,-0.801260
-0.243722,1.931879,-0.801260
-0.243399,1.932260,-0.801260
-0.243080,1.932646,-0.801260
-0.242770,1.933012,-0.801260
-0.282353,1.967088,-0.801260
-0.282044,1.967677,-0.801260
-0.281797,1.967926,-0.801260
-0.281518,1.968462,-0.801260
-0.281263,1.968928,-0.801260
-0.281043,1.969278,-0.801260
-0.280814,1.969961,-0.801260
-0.280559,1.970099,-0.801260
-0.280276,1.970671,-0.801260
-0.280063,1.971028,-0.801260
-0.279689,1.971444,-0.801260
-0.279339,1.972181,-0.801260
-0.278913,1.972398,-0.801260
-0.279044,1.973017,-0.801260
-0.278521,1.973230,-0.801260
-0.278487,1.973972,-0.801260
-0.278349,1.974235,-0.801260
-0.277989,1.974729,-0.801260
-0.277701,1.974971,-0.801260
-0.277519,1.975457,-0.801260
-0.277274,1.975905,-0.801260
-0.277009,1.976427,-0.801260
-0.276733,1.976756,-0.801260
-0.276514,1.977199,-0.801260
-0.276372,1.977680,-0.801260
-0.275966,1.978045,-0.801260
-0.275634,1.978680,-0.801260
-0.275525,1.978994,-0.801260
-0.275211,1.979617,-0.801260
-0.275028,1.979842,-0.801260
-0.274757,1.980359,-0.801260
-0.274750,1.980980,-0.801260
-0.274096,1.981019,-0.801260
-0.274093,1.981721,-0.801260
-0.273622,1.981861,-0.801260
-0.273580,1.982518,-0.801260
-0.273295,1.983140,-0.801260
-0.273069,1.983381,-0.801260
-0.272588,1.983722,-0.801260
-0.272565,1.984159,-0.801260
-0.272270,1.984865,-0.801260
-0.272106,1.985092,-0.801260
-0.271705,1.985500,-0.801260
-0.271641,1.985955,-0.801260
-0.271253,1.986583,-0.801260
-0.271089,1.986928,-0.801260
-0.270671,1.987596,-0.801260
-0.270376,1.987714,-0.801260
-0.270033,1.988366,-0.801260
-0.269814,1.988796,-0.801260
-0.269712,1.989232,-0.801260
-0.269198,1.989610,-0.801260
-0.268946,1.990052,-0.801260
-0.268669,1.990602,-0.801260
-0.268676,1.991104,-0.801260
-0.268158,1.991257,-0.801260
-0.268103,1.991850,-0.801260
-0.267735,1.992430,-0.801260
-0.267610,1.992625,-0.801260
-0.267329,1.993042,-0.801260
-0.267086,1.993543,-0.801260
-0.266740,1.994232,-0.801260
-0.266524,1.994703,-0.801260
-0.266060,1.994980,-0.801260
-0.265889,1.995371,-0.801260
-0.265876,1.996130,-0.801260
-0.265313,1.996271,-0.801260
-0.265315,1.996887,-0.801260
-0.265189,1.997120,-0.801260
-0.264617,1.997450,-0.801260
-0.264706,1.997877,-0.801260
-0.264463,1.998560,-0.801260
-0.264276,1.998978,-0.801260
-0.263642,1.999007,-0.801260
-0.263672,1.999764,-0.801260
-0.263220,1.999985,-0.801260
-0.263162,2.000432,-0.801260
-0.262826,2.000868,-0.801260
-0.262742,2.001372,-0.801260
-0.262369,2.001973,-0.801260
-0.262084,2.002517,-0.801260
-0.261656,2.002706,-0.801260
-0.261688,2.003177,-0.801260
-0.261351,2.003677,-0.801260
-0.261033,2.004050,-0.801260
-0.260902,2.004606,-0.801260
-0.260608,2.004855,-0.801260
-0.260334,2.005317,-0.801260
-0.260018,2.005861,-0.801260
-0.259795,2.006196,-0.801260
-0.259541,2.006636,-0.801260
-0.259307,2.007054,-0.801260
-0.259027,2.007510,-0.801260
