3D_003,24
FileName,C:\MLP_Data\RBL\20230504 D906\D906-2.csv
Type of measurement data,3D data in details.
Number of points in X direction,2326
Number of points in Y direction,1
Max. in X direction,-2.125765
Min. in X direction,2.607280
Max. in Y direction,-0.793860
Min. in Y direction,-0.794010
Max. in Z direction,0.476077
Min. in Z direction,-0.253970
Ave. in Z direction,0.109240
Data Name,D906-2
Pitch,Tracing axis : ,0.000500,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.000500,Stepping axis : ,0.000000
Range,Tracing axis : ,1.162500,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.253970,2.125765,-0.793930
-0.253619,2.126215,-0.793930
-0.253326,2.126739,-0.793930
-0.253245,2.127050,-0.793930
-0.252792,2.127714,-0.793930
-0.252715,2.128093,-0.793930
-0.252344,2.128774,-0.793930
-0.251880,2.128998,-0.793930
-0.252157,2.129530,-0.793930
-0.251525,2.129731,-0.793930
-0.251087,2.130173,-0.793930
-0.250846,2.130676,-0.793930
-0.250674,2.131302,-0.793930
-0.250576,2.131937,-0.793930
-0.250130,2.132177,-0.793930
-0.249950,2.132561,-0.793930
-0.249666,2.133106,-0.793930
-0.249443,2.133532,-0.793930
-0.249326,2.133813,-0.793930
-0.249255,2.134380,-0.793930
-0.248947,2.134840,-0.793930
-0.248754,2.135317,-0.793930
-0.248373,2.135872,-0.793930
-0.248194,2.136243,-0.793930
-0.247694,2.136646,-0.793930
-0.247420,2.137226,-0.793930
-0.247304,2.137586,-0.793930
-0.247118,2.137900,-0.793930
-0.246772,2.138235,-0.793930
-0.246612,2.138728,-0.793930
-0.246345,2.139131,-0.793930
-0.246111,2.139548,-0.793930
-0.245848,2.139940,-0.793930
-0.245475,2.140620,-0.793930
-0.245269,2.141178,-0.793930
-0.244952,2.141408,-0.793930
-0.244790,2.141873,-0.793930
-0.244506,2.142431,-0.793930
-0.244264,2.142854,-0.793930
-0.243983,2.143167,-0.793930
-0.243886,2.143503,-0.793930
-0.243538,2.144216,-0.793930
-0.243325,2.144494,-0.793930
-0.243073,2.145001,-0.793930
-0.242802,2.145283,-0.793930
-0.242473,2.145973,-0.793930
-0.242223,2.146480,-0.793930
-0.242064,2.146596,-0.793930
-0.241770,2.147445,-0.793930
-0.241521,2.147536,-0.793930
-0.241257,2.147941,-0.793930
-0.241023,2.148437,-0.793930
-0.240697,2.148960,-0.793930
-0.240422,2.149460,-0.793930
-0.240183,2.149977,-0.793930
-0.240241,2.150561,-0.793930
-0.239682,2.150797,-0.793930
-0.239498,2.151204,-0.793930
-0.239246,2.151554,-0.793930
-0.239029,2.152025,-0.793930
-0.238794,2.152480,-0.793930
-0.238430,2.153167,-0.793930
-0.238244,2.153533,-0.793930
-0.238017,2.153916,-0.793930
-0.237698,2.154562,-0.793930
-0.237324,2.154718,-0.793930
-0.237431,2.155187,-0.793930
-0.236748,2.155514,-0.793930
-0.236637,2.156138,-0.793930
-0.236542,2.156307,-0.793930
-0.236297,2.157054,-0.793930
-0.235913,2.157163,-0.793930
-0.235736,2.157641,-0.793930
-0.235687,2.158344,-0.793930
-0.235076,2.158379,-0.793930
-0.235199,2.159083,-0.793930
-0.234951,2.159593,-0.793930
-0.234500,2.159645,-0.793930
-0.234283,2.160312,-0.793930
-0.233767,2.160532,-0.793930
-0.233668,2.161193,-0.793930
-0.233313,2.161678,-0.793930
-0.233332,2.162347,-0.793930
-0.233026,2.162625,-0.793930
-0.232780,2.162850,-0.793930
-0.232432,2.163641,-0.793930
-0.232238,2.163765,-0.793930
-0.231926,2.164534,-0.793930
-0.231844,2.164936,-0.793930
-0.231359,2.165103,-0.793930
-0.231294,2.165662,-0.793930
-0.230967,2.166328,-0.793930
-0.230849,2.166608,-0.793930
-0.230463,2.167171,-0.793930
-0.230337,2.167496,-0.793930
-0.229950,2.167877,-0.793930
-0.229921,2.168414,-0.793930
-0.229225,2.168809,-0.793930
-0.229066,2.169315,-0.793930
-0.228914,2.169827,-0.793930
-0.228608,2.170301,-0.793930
-0.228392,2.170538,-0.793930
-0.228231,2.171198,-0.793930
-0.228057,2.171810,-0.793930
-0.227627,2.172180,-0.793930
-0.227524,2.172381,-0.793930
-0.227126,2.172908,-0.793930
-0.226930,2.173122,-0.793930
-0.226750,2.173611,-0.793930
-0.226480,2.174220,-0.793930
-0.226304,2.174464,-0.793930
-0.225951,2.175121,-0.793930
-0.225817,2.175295,-0.793930
-0.225567,2.175699,-0.793930
-0.225210,2.176444,-0.793930
-0.225045,2.176736,-0.793930
-0.224779,2.177153,-0.793930
-0.224542,2.177659,-0.793930
-0.224366,2.177916,-0.793930
-0.224180,2.178412,-0.793930
-0.223854,2.178818,-0.793930
-0.223588,2.179273,-0.793930
-0.223271,2.179816,-0.793930
-0.222927,2.180481,-0.793930
-0.222715,2.180852,-0.793930
-0.222538,2.181094,-0.793930
-0.222210,2.181733,-0.793930
-0.221971,2.182185,-0.793930
-0.221753,2.182381,-0.793930
-0.221511,2.182961,-0.793930
-0.221152,2.183561,-0.793930
-0.220937,2.183994,-0.793930
-0.220655,2.184514,-0.793930
-0.220471,2.184660,-0.793930
-0.220194,2.185342,-0.793930
-0.220003,2.185573,-0.793930
-0.219744,2.185995,-0.793930
-0.219522,2.186448,-0.793930
-0.219117,2.187127,-0.793930
-0.218896,2.187633,-0.793930
-0.218667,2.187715,-0.793930
-0.218425,2.188308,-0.793930
-0.218206,2.188647,-0.793930
-0.217965,2.189176,-0.793930
-0.217635,2.189695,-0.793930
-0.217417,2.190256,-0.793930
-0.217258,2.190371,-0.793930
-0.216997,2.190778,-0.793930
-0.216811,2.191249,-0.793930
-0.216439,2.191824,-0.793930
-0.216221,2.192294,-0.793930
-0.216031,2.192409,-0.793930
-0.215699,2.193162,-0.793930
-0.215456,2.193558,-0.793930
-0.215223,2.194015,-0.793930
-0.214917,2.194464,-0.793930
-0.214703,2.194898,-0.793930
-0.214465,2.195415,-0.793930
-0.214258,2.195529,-0.793930
-0.213966,2.196185,-0.793930
-0.213825,2.196445,-0.793930
-0.213521,2.196986,-0.793930
-0.213192,2.197585,-0.793930
-0.213018,2.197987,-0.793930
-0.212736,2.198508,-0.793930
-0.212488,2.198691,-0.793930
-0.212225,2.199385,-0.793930
-0.211912,2.199970,-0.793930
-0.211539,2.200193,-0.793930
-0.211578,2.200735,-0.793930
-0.211194,2.201156,-0.793930
-0.210780,2.201501,-0.793930
-0.210716,2.202113,-0.793930
-0.210419,2.202320,-0.793930
-0.210192,2.202809,-0.793930
-0.209960,2.203228,-0.793930
-0.209675,2.203693,-0.793930
-0.209411,2.204138,-0.793930
-0.209172,2.204590,-0.793930
-0.208893,2.205021,-0.793930
-0.208602,2.205470,-0.793930
-0.208381,2.205950,-0.793930
-0.208105,2.206383,-0.793930
-0.207854,2.206826,-0.793930
-0.207610,2.207274,-0.793930
-0.207381,2.207682,-0.793930
-0.207123,2.208093,-0.793930
-0.206896,2.208516,-0.793930
-0.206637,2.208938,-0.793930
-0.206395,2.209361,-0.793930
-0.206153,2.209759,-0.793930
-0.205922,2.210179,-0.793930
-0.205707,2.210599,-0.793930
-0.205462,2.211019,-0.793930
-0.205198,2.211464,-0.793930
-0.204958,2.211889,-0.793930
-0.204698,2.212310,-0.793930
-0.204446,2.212777,-0.793930
