3D_003,24
FileName,C:\MLP_Data\RBL\20230504 V5\v5-1.csv
Type of measurement data,3D data in details.
Number of points in X direction,3959
Number of points in Y direction,1
Max. in X direction,-6.757011
Min. in X direction,7.556923
Max. in Y direction,6.070927
Min. in Y direction,6.070807
Max. in Z direction,0.638178
Min. in Z direction,-1.014370
Ave. in Z direction,-0.104863
Data Name,v5-1
Pitch,Tracing axis : ,0.000500,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.000500,Stepping axis : ,0.000000
Range,Tracing axis : ,1.979000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,0.500000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-1.014370,7.211236,6.070887
-1.014108,7.211369,6.070887
-1.013918,7.211771,6.070887
-1.013575,7.212383,6.070887
-1.013329,7.212608,6.070887
-1.012965,7.213203,6.070887
-1.012705,7.213416,6.070887
-1.012222,7.213755,6.070887
-1.012040,7.214215,6.070887
-1.011619,7.214580,6.070887
-1.011333,7.214954,6.070887
-1.011040,7.215386,6.070887
-1.010740,7.215761,6.070887
-1.010446,7.216154,6.070887
-1.010192,7.216554,6.070887
-1.009868,7.216922,6.070887
-1.009559,7.217329,6.070887
-1.009244,7.217678,6.070887
-1.008935,7.218059,6.070887
-1.008643,7.218440,6.070887
-1.008335,7.218795,6.070887
-1.008028,7.219177,6.070887
-1.007713,7.219579,6.070887
-1.007415,7.219969,6.070887
-1.007110,7.220352,6.070887
-1.006795,7.220753,6.070887
-1.006489,7.221136,6.070887
-1.006191,7.221513,6.070887
-1.005875,7.221926,6.070887
-1.005562,7.222317,6.070887
-1.005245,7.222717,6.070887
-1.005023,7.223196,6.070887
-1.004684,7.223721,6.070887
-1.004242,7.224172,6.070887
-1.004063,7.224505,6.070887
-1.003737,7.224766,6.070887
-1.003426,7.225289,6.070887
-1.003116,7.225603,6.070887
-1.002789,7.226112,6.070887
-1.002444,7.226371,6.070887
-1.002118,7.226881,6.070887
-1.001755,7.227098,6.070887
-1.001498,7.227652,6.070887
-1.001258,7.227986,6.070887
-1.000820,7.228389,6.070887
-1.000433,7.228913,6.070887
-1.000145,7.229233,6.070887
-0.999863,7.229596,6.070887
-0.999579,7.229906,6.070887
-0.999265,7.230322,6.070887
-0.998948,7.230683,6.070887
-0.998639,7.231050,6.070887
-0.998341,7.231427,6.070887
-0.998023,7.231786,6.070887
-0.997721,7.232146,6.070887
-0.997401,7.232530,6.070887
-0.997103,7.232881,6.070887
-0.996798,7.233264,6.070887
-0.996494,7.233610,6.070887
-0.996217,7.233939,6.070887
-0.995921,7.234330,6.070887
-0.995605,7.234692,6.070887
-0.995293,7.235083,6.070887
-0.994974,7.235467,6.070887
-0.994636,7.235875,6.070887
-0.994306,7.236278,6.070887
-0.994076,7.236737,6.070887
-0.993754,7.237120,6.070887
-0.993438,7.237494,6.070887
-0.993105,7.237894,6.070887
-0.992761,7.238297,6.070887
-0.992442,7.238682,6.070887
-0.992095,7.239096,6.070887
-0.991767,7.239486,6.070887
-0.991440,7.239877,6.070887
-0.991097,7.240282,6.070887
-0.990784,7.240659,6.070887
-0.990449,7.241056,6.070887
-0.990121,7.241447,6.070887
-0.989819,7.241807,6.070887
-0.989478,7.242213,6.070887
-0.989155,7.242595,6.070887
-0.988823,7.242994,6.070887
-0.988508,7.243370,6.070887
-0.988186,7.243751,6.070887
-0.987852,7.244150,6.070887
-0.987524,7.244540,6.070887
-0.987197,7.244932,6.070887
-0.986856,7.245337,6.070887
-0.986529,7.245728,6.070887
-0.986201,7.246119,6.070887
-0.985879,7.246502,6.070887
-0.985565,7.246891,6.070887
-0.985249,7.247253,6.070887
-0.984941,7.247634,6.070887
-0.984626,7.247996,6.070887
-0.984299,7.248387,6.070887
-0.983988,7.248753,6.070887
-0.983701,7.249112,6.070887
-0.983404,7.249464,6.070887
-0.983095,7.249818,6.070887
-0.982781,7.250194,6.070887
-0.982452,7.250584,6.070887
-0.982143,7.250952,6.070887
-0.981830,7.251328,6.070887
-0.981501,7.251718,6.070887
-0.981193,7.252086,6.070887
-0.980863,7.252449,6.070887
-0.980524,7.252856,6.070887
-0.980206,7.253216,6.070887
-0.979849,7.253583,6.070887
-0.979513,7.253979,6.070887
-0.979179,7.254377,6.070887
-0.978867,7.254755,6.070887
-0.978523,7.255146,6.070887
-0.978166,7.255512,6.070887
-0.977820,7.255913,6.070887
-0.977485,7.256311,6.070887
-0.977159,7.256716,6.070887
-0.976807,7.257074,6.070887
-0.976467,7.257467,6.070887
-0.976140,7.257846,6.070887
-0.975809,7.258234,6.070887
-0.975489,7.258605,6.070887
-0.975145,7.258982,6.070887
-0.974825,7.259366,6.070887
-0.974478,7.259715,6.070887
-0.974162,7.260076,6.070887
-0.973841,7.260472,6.070887
-0.973498,7.260864,6.070887
-0.973179,7.261235,6.070887
-0.972843,7.261567,6.070887
-0.972527,7.261928,6.070887
-0.972203,7.262296,6.070887
-0.971898,7.262654,6.070887
-0.971565,7.263014,6.070887
-0.971246,7.263386,6.070887
-0.970929,7.263747,6.070887
-0.970624,7.264104,6.070887
-0.970313,7.264417,6.070887
-0.969978,7.264790,6.070887
-0.969618,7.265127,6.070887
-0.969280,7.265496,6.070887
-0.968953,7.265874,6.070887
-0.968617,7.266271,6.070887
-0.968284,7.266670,6.070887
-0.967856,7.266978,6.070887
-0.967487,7.267320,6.070887
-0.967105,7.267900,6.070887
-0.966857,7.268084,6.070887
-0.966536,7.268520,6.070887
-0.966223,7.268896,6.070887
-0.965853,7.269278,6.070887
-0.965507,7.269667,6.070887
-0.965175,7.270066,6.070887
-0.964837,7.270462,6.070887
-0.964501,7.270846,6.070887
-0.964137,7.271232,6.070887
-0.963790,7.271606,6.070887
-0.963466,7.271961,6.070887
-0.963096,7.272356,6.070887
-0.962747,7.272729,6.070887
-0.962422,7.273122,6.070887
-0.962069,7.273478,6.070887
-0.961736,7.273865,6.070887
-0.961371,7.274250,6.070887
-0.961020,7.274622,6.070887
-0.960510,7.274977,6.070887
-0.960171,7.275267,6.070887
-0.959761,7.275719,6.070887
-0.959559,7.276085,6.070887
-0.959263,7.276463,6.070887
-0.958846,7.276779,6.070887
-0.958647,7.277200,6.070887
-0.958200,7.277477,6.070887
-0.957926,7.277795,6.070887
-0.957570,7.278228,6.070887
-0.957294,7.278570,6.070887
-0.956955,7.278913,6.070887
-0.956565,7.279355,6.070887
-0.956312,7.279561,6.070887
-0.956004,7.279955,6.070887
-0.955532,7.280277,6.070887
-0.955247,7.280573,6.070887
-0.954886,7.280962,6.070887
-0.954593,7.281369,6.070887
-0.954270,7.281724,6.070887
-0.953918,7.282095,6.070887
-0.953588,7.282484,6.070887
-0.953188,7.282827,6.070887
-0.952881,7.283222,6.070887
-0.952502,7.283596,6.070887
-0.952173,7.283999,6.070887
-0.951845,7.284363,6.070887
-0.951511,7.284748,6.070887
-0.951103,7.285190,6.070887
-0.950802,7.285485,6.070887
-0.950417,7.285893,6.070887
-0.950097,7.286225,6.070887
-0.949755,7.286590,6.070887
-0.949388,7.286962,6.070887
-0.949056,7.287322,6.070887
-0.948712,7.287687,6.070887
-0.948371,7.288040,6.070887
-0.948021,7.288386,6.070887
-0.947658,7.288748,6.070887
-0.947243,7.289052,6.070887
-0.946696,7.289441,6.070887
-0.946297,7.289838,6.070887
-0.946253,7.290192,6.070887
-0.945843,7.290541,6.070887
-0.945484,7.290826,6.070887
-0.945139,7.291215,6.070887
-0.944721,7.291727,6.070887
-0.944481,7.291917,6.070887
-0.944081,7.292378,6.070887
-0.943799,7.292610,6.070887
-0.943465,7.293009,6.070887
-0.943163,7.293317,6.070887
-0.942873,7.293648,6.070887
-0.942538,7.294020,6.070887
-0.942193,7.294344,6.070887
-0.941859,7.294703,6.070887
-0.941510,7.295063,6.070887
-0.941102,7.295478,6.070887
-0.940765,7.295809,6.070887
-0.940410,7.296151,6.070887
-0.940070,7.296505,6.070887
-0.939739,7.296840,6.070887
-0.939388,7.297212,6.070887
-0.939004,7.297582,6.070887
-0.938645,7.297933,6.070887
-0.938133,7.298222,6.070887
-0.937801,7.298622,6.070887
-0.937397,7.298975,6.070887
-0.936865,7.299520,6.070887
-0.936690,7.299830,6.070887
-0.936377,7.300259,6.070887
-0.935929,7.300458,6.070887
-0.935607,7.300828,6.070887
-0.935244,7.301189,6.070887
-0.934823,7.301605,6.070887
-0.934474,7.301874,6.070887
-0.933988,7.302328,6.070887
-0.933630,7.302732,6.070887
-0.933334,7.303084,6.070887
-0.932989,7.303474,6.070887
-0.932668,7.303766,6.070887
-0.932311,7.304171,6.070887
-0.931985,7.304459,6.070887
-0.931634,7.304841,6.070887
-0.931286,7.305190,6.070887
-0.930934,7.305547,6.070887
-0.930553,7.305958,6.070887
-0.930259,7.306221,6.070887
-0.929917,7.306547,6.070887
-0.929566,7.306905,6.070887
-0.929202,7.307240,6.070887
-0.928886,7.307575,6.070887
-0.928530,7.307902,6.070887
-0.928189,7.308230,6.070887
-0.927852,7.308574,6.070887
-0.927475,7.308936,6.070887
-0.927132,7.309275,6.070887
-0.926760,7.309616,6.070887
-0.926300,7.309883,6.070887
-0.925966,7.310255,6.070887
-0.925632,7.310614,6.070887
-0.925057,7.311006,6.070887
-0.924610,7.311402,6.070887
-0.924344,7.311635,6.070887
-0.924031,7.311934,6.070887
-0.923615,7.312303,6.070887
-0.923378,7.312717,6.070887
-0.923108,7.313105,6.070887
-0.922643,7.313445,6.070887
-0.922278,7.313713,6.070887
-0.921921,7.314210,6.070887
-0.921628,7.314499,6.070887
-0.921202,7.314873,6.070887
-0.920727,7.315362,6.070887
-0.920475,7.315555,6.070887
-0.920055,7.315999,6.070887
-0.919758,7.316246,6.070887
-0.919372,7.316653,6.070887
-0.919061,7.316967,6.070887
-0.918696,7.317300,6.070887
-0.918340,7.317641,6.070887
-0.917963,7.318003,6.070887
-0.917574,7.318343,6.070887
-0.917204,7.318698,6.070887
-0.916849,7.319014,6.070887
-0.916499,7.319359,6.070887
-0.916126,7.319687,6.070887
-0.915789,7.320017,6.070887
-0.915421,7.320361,6.070887
-0.915021,7.320769,6.070887
-0.914453,7.321011,6.070887
-0.914061,7.321348,6.070887
-0.913972,7.321534,6.070887
-0.913711,7.322007,6.070887
-0.913222,7.322145,6.070887
-0.912903,7.322556,6.070887
-0.912587,7.322878,6.070887
-0.912137,7.323271,6.070887
-0.911650,7.323737,6.070887
-0.911330,7.324004,6.070887
-0.910958,7.324396,6.070887
-0.910650,7.324660,6.070887
-0.910290,7.325063,6.070887
-0.909915,7.325336,6.070887
-0.909568,7.325723,6.070887
-0.909169,7.326054,6.070887
-0.908787,7.326439,6.070887
-0.908424,7.326813,6.070887
-0.908020,7.327179,6.070887
-0.907635,7.327521,6.070887
-0.907252,7.327892,6.070887
-0.906845,7.328230,6.070887
-0.906500,7.328567,6.070887
-0.906101,7.328924,6.070887
-0.905714,7.329278,6.070887
-0.905329,7.329607,6.070887
-0.904966,7.329956,6.070887
-0.904585,7.330288,6.070887
-0.904196,7.330641,6.070887
-0.903836,7.330979,6.070887
-0.903326,7.331203,6.070887
-0.902976,7.331601,6.070887
-0.902394,7.331961,6.070887
-0.902079,7.332154,6.070887
-0.901834,7.332627,6.070887
