3D_003,24
FileName,C:\MLP_Data\RBL\20230504 V78427\V78427-1.csv
Type of measurement data,3D data in details.
Number of points in X direction,4187
Number of points in Y direction,1
Max. in X direction,-6.940035
Min. in X direction,7.538723
Max. in Y direction,6.445324
Min. in Y direction,6.445194
Max. in Z direction,0.586841
Min. in Z direction,-1.144184
Ave. in Z direction,-0.278324
Data Name,V78427-1
Pitch,Tracing axis : ,0.000500,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.000500,Stepping axis : ,0.000000
Range,Tracing axis : ,2.093000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,0.500000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-1.144184,6.940035,6.445254
-1.143963,6.940202,6.445254
-1.143885,6.940684,6.445254
-1.143550,6.941422,6.445254
-1.143431,6.941818,6.445254
-1.143095,6.942267,6.445254
-1.142712,6.942690,6.445254
-1.142634,6.943146,6.445254
-1.142489,6.943547,6.445254
-1.142291,6.944321,6.445254
-1.142092,6.944506,6.445254
-1.141640,6.944792,6.445254
-1.141673,6.945512,6.445254
-1.141393,6.946074,6.445254
-1.141129,6.946413,6.445254
-1.140857,6.946955,6.445254
-1.140673,6.947362,6.445254
-1.140351,6.947823,6.445254
-1.140167,6.948269,6.445254
-1.139920,6.948806,6.445254
-1.139684,6.949248,6.445254
-1.139443,6.949685,6.445254
-1.139161,6.950140,6.445254
-1.138943,6.950636,6.445254
-1.138749,6.951139,6.445254
-1.138523,6.951602,6.445254
-1.138328,6.952104,6.445254
-1.138108,6.952611,6.445254
-1.137880,6.953073,6.445254
-1.137650,6.953545,6.445254
-1.137410,6.954023,6.445254
-1.137198,6.954511,6.445254
-1.136983,6.954983,6.445254
-1.136750,6.955441,6.445254
-1.136636,6.956298,6.445254
-1.136412,6.956763,6.445254
-1.136220,6.956863,6.445254
-1.135948,6.957300,6.445254
-1.135825,6.957836,6.445254
-1.135569,6.958457,6.445254
-1.135177,6.958572,6.445254
-1.135255,6.959186,6.445254
-1.134960,6.959826,6.445254
-1.134657,6.960303,6.445254
-1.134460,6.960451,6.445254
-1.134344,6.960993,6.445254
-1.134100,6.961806,6.445254
-1.133787,6.961844,6.445254
-1.133656,6.962713,6.445254
-1.133243,6.962771,6.445254
-1.133050,6.963340,6.445254
-1.132786,6.963981,6.445254
-1.132511,6.964050,6.445254
-1.132447,6.964675,6.445254
-1.132200,6.965251,6.445254
-1.131991,6.965963,6.445254
-1.131800,6.966273,6.445254
-1.131221,6.966635,6.445254
-1.131161,6.966872,6.445254
-1.130875,6.967285,6.445254
-1.130579,6.967703,6.445254
-1.130561,6.968327,6.445254
