3D_003,24
FileName,C:\MLP_Data\20221019-strategy-2+40-5.csv
Type of measurement data,3D data in details.
Number of points in X direction,2024
Number of points in Y direction,1
Max. in X direction,-1.766547
Min. in X direction,2.628513
Max. in Y direction,-0.838074
Min. in Y direction,-0.838194
Max. in Z direction,0.547226
Min. in Z direction,-0.604315
Ave. in Z direction,-0.026941
Data Name,Polygon data(The 1 profiles AZ=-140deg.)
Pitch,Tracing axis : ,0.001000,Stepping axis : ,0.000000
Pitch(X Stage),Tracing axis : ,0.001000,Stepping axis : ,0.000000
Range,Tracing axis : ,2.023000,Stepping axis : ,0.000000
AF gain,2
AF sensor,Wide
Magnification,1.000000
Objective lens,LM100X
Laser offset,
Divide code,NO
 
X,Y,Z
-0.604315,1.823245,-0.838124
-0.603854,1.824060,-0.838124
-0.603480,1.824555,-0.838124
-0.603075,1.825638,-0.838124
-0.602528,1.826484,-0.838124
-0.602007,1.827339,-0.838124
-0.601279,1.828726,-0.838124
-0.600800,1.829603,-0.838124
-0.600270,1.830517,-0.838124
-0.599683,1.831355,-0.838124
-0.599508,1.831808,-0.838124
-0.598956,1.832651,-0.838124
-0.598331,1.834071,-0.838124
-0.597955,1.834657,-0.838124
-0.597542,1.835302,-0.838124
-0.597030,1.836270,-0.838124
-0.596346,1.837614,-0.838124
-0.596038,1.837970,-0.838124
-0.595588,1.839002,-0.838124
-0.595139,1.839735,-0.838124
-0.594648,1.840537,-0.838124
-0.594218,1.841390,-0.838124
-0.593676,1.842254,-0.838124
-0.593167,1.843145,-0.838124
-0.592659,1.844037,-0.838124
-0.592123,1.844932,-0.838124
-0.591643,1.845887,-0.838124
-0.591116,1.846842,-0.838124
-0.590490,1.848000,-0.838124
-0.590077,1.848724,-0.838124
-0.589596,1.849600,-0.838124
-0.589068,1.850566,-0.838124
-0.588613,1.851412,-0.838124
-0.588086,1.852315,-0.838124
-0.587458,1.853497,-0.838124
-0.587094,1.854132,-0.838124
-0.586571,1.854998,-0.838124
-0.585973,1.856220,-0.838124
-0.585667,1.856772,-0.838124
-0.585173,1.857598,-0.838124
-0.584559,1.858741,-0.838124
-0.584225,1.859348,-0.838124
-0.583723,1.860206,-0.838124
-0.583064,1.861429,-0.838124
-0.582747,1.862011,-0.838124
-0.582206,1.862888,-0.838124
-0.581519,1.864218,-0.838124
-0.581269,1.864687,-0.838124
-0.580753,1.865560,-0.838124
-0.580154,1.866741,-0.838124
-0.579772,1.867426,-0.838124
-0.579223,1.868283,-0.838124
-0.578619,1.869552,-0.838124
-0.578300,1.870107,-0.838124
-0.577761,1.870986,-0.838124
-0.577258,1.871909,-0.838124
-0.576802,1.872792,-0.838124
-0.576318,1.873626,-0.838124
-0.575860,1.874482,-0.838124
-0.575371,1.875337,-0.838124
-0.574920,1.876147,-0.838124
-0.574469,1.876996,-0.838124
-0.573961,1.877888,-0.838124
-0.573469,1.878780,-0.838124
-0.572953,1.879705,-0.838124
-0.572452,1.880603,-0.838124
-0.571925,1.881545,-0.838124
-0.571405,1.882492,-0.838124
-0.570905,1.883417,-0.838124
-0.570428,1.884335,-0.838124
-0.570017,1.885361,-0.838124
-0.569316,1.886744,-0.838124
-0.568820,1.887568,-0.838124
-0.568345,1.888162,-0.838124
-0.567805,1.889379,-0.838124
-0.567150,1.889953,-0.838124
-0.566957,1.890757,-0.838124
-0.566323,1.891829,-0.838124
-0.565849,1.892606,-0.838124
-0.565295,1.893447,-0.838124
-0.564851,1.894523,-0.838124
-0.564517,1.894961,-0.838124
-0.563443,1.895691,-0.838124
-0.563544,1.897173,-0.838124
-0.563041,1.898030,-0.838124
-0.562844,1.898805,-0.838124
-0.562229,1.899529,-0.838124
-0.561691,1.900631,-0.838124
-0.560934,1.901953,-0.838124
-0.560297,1.902346,-0.838124
-0.559832,1.903548,-0.838124
-0.559379,1.904226,-0.838124
-0.558959,1.905479,-0.838124
-0.558644,1.905776,-0.838124
-0.558161,1.907068,-0.838124
-0.557579,1.907781,-0.838124
-0.557210,1.908489,-0.838124
-0.556681,1.909533,-0.838124
-0.555981,1.910329,-0.838124
-0.555859,1.911729,-0.838124
-0.555308,1.912311,-0.838124
-0.554778,1.912832,-0.838124
-0.554314,1.914166,-0.838124
-0.553971,1.914713,-0.838124
-0.553250,1.915348,-0.838124
-0.552839,1.916439,-0.838124
-0.552145,1.917658,-0.838124
-0.551514,1.918304,-0.838124
-0.551304,1.919772,-0.838124
-0.550632,1.919966,-0.838124
-0.550420,1.921406,-0.838124
