The time spent in the parallel computing activating process is 0.000197s.
-----
No.1	 toolpath 535.073516	[r = 600.000000] is calculated within 0.025376s.
-----
initial linear search begins: 
No.	x	f(x)0	568.344755	1.379614
1	568.977860	1.375477
2	569.610965	1.371338
3	570.244069	1.367199
4	570.877174	1.363059
5	571.510279	1.358918
6	572.143384	1.354776
7	572.776489	1.311988
8	573.409594	1.217526
9	574.042699	1.115257
10	574.675804	1.014420
11	575.308909	0.921163
12	575.942014	0.837003
13	576.575118	0.764926
14	577.208223	0.745121
15	577.841328	0.742733
16	578.474433	0.743185
17	579.107538	0.745167
18	579.740643	0.746189
19	580.373748	0.747212
20	581.006853	0.748236
21	581.639958	0.747346
22	582.273063	0.726004
23	582.906168	0.717422
24	583.539272	0.688764
25	584.172377	0.674847
26	584.805482	0.693910
27	585.438587	0.713144
28	586.071692	0.711645
29	586.704797	0.709250
30	587.337902	0.706855
31	587.971007	0.704393
32	588.604112	0.658126
33	589.237217	0.563051
34	589.870322	0.410563
35	590.503426	0.211988
36	591.136531	0.211160
37	591.769636	0.210332
38	592.402741	0.209503
39	593.035846	0.208675
40	593.668951	0.207846
41	594.302056	0.207018
42	594.935161	0.206189
43	595.568266	0.195844
44	596.201371	0.103481
45	596.834475	-0.055170
No.2	 toolpath 531.709152	[r = 596.635637] is calculated within 11.121070s.
-----
initial linear search begins: 
No.	x	f(x)0	564.943800	1.424025
1	565.577637	1.419888
2	566.211474	1.415750
3	566.845310	1.411612
4	567.479147	1.407472
5	568.112984	1.403331
6	568.746821	1.393568
7	569.380657	1.313361
8	570.014494	1.212106
9	570.648331	1.106116
10	571.282168	1.004577
11	571.916004	0.907994
12	572.549841	0.822709
13	573.183678	0.773069
14	573.817514	0.770682
15	574.451351	0.768293
16	575.085188	0.765904
17	575.719025	0.763515
18	576.352861	0.761126
19	576.986698	0.758736
20	577.620535	0.756345
21	578.254372	0.753954
22	578.888208	0.748782
23	579.522045	0.710417
24	580.155882	0.674348
25	580.789719	0.662748
26	581.423555	0.685858
27	582.057392	0.710317
28	582.691229	0.730918
29	583.325066	0.734807
30	583.958902	0.732411
31	584.592739	0.716014
32	585.226576	0.663518
33	585.860412	0.569109
34	586.494249	0.418103
35	587.128086	0.220824
36	587.761923	0.219994
37	588.395759	0.219164
38	589.029596	0.218334
39	589.663433	0.217504
40	590.297270	0.216674
41	590.931106	0.215844
42	591.564943	0.215014
43	592.198780	0.202384
44	592.832617	0.107988
45	593.466453	-0.052282
No.3	 toolpath 528.351759	[r = 593.278243] is calculated within 10.768569s.
-----
initial linear search begins: 
No.	x	f(x)0	561.550137	1.468289
1	562.184699	1.464152
2	562.819261	1.460014
3	563.453823	1.455875
4	564.088385	1.451736
5	564.722947	1.447596
6	565.357509	1.406460
7	565.992072	1.310293
8	566.626634	1.203370
9	567.261196	1.096034
10	567.895758	0.991962
11	568.530320	0.895529
12	569.164882	0.809121
13	569.799444	0.798548
14	570.434006	0.796161
15	571.068568	0.793772
16	571.703131	0.791384
17	572.337693	0.788994
18	572.972255	0.786604
19	573.606817	0.784213
20	574.241379	0.781822
21	574.875941	0.779431
22	575.510503	0.747581
23	576.145065	0.698625
24	576.779628	0.658949
25	577.414190	0.651185
26	578.048752	0.677205
27	578.683314	0.703834
28	579.317876	0.725452
29	579.952438	0.735705
30	580.587000	0.736262
31	581.221562	0.716776
