The time spent in the parallel computing activating process is 0.000249s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.030134s.
-----
initial linear search begins: 
No.	x	f(x)
0	-556.694433	7.023627
1	-557.560544	6.660105
2	-558.426655	6.648104
3	-559.292767	6.636100
4	-560.158878	6.624092
5	-561.024989	6.612080
6	-561.891101	6.600065
7	-562.757212	6.588045
8	-563.623324	6.576022
9	-564.489435	6.563995
10	-565.355546	6.551965
11	-566.221658	6.535463
12	-567.087769	6.377107
13	-567.953880	6.057354
14	-568.819992	5.638701
15	-569.686103	5.175401
16	-570.552214	4.721974
17	-571.418326	4.331243
18	-572.284437	4.026147
19	-573.150548	3.788655
20	-574.016660	3.597253
21	-574.882771	3.431922
22	-575.748882	3.272169
23	-576.614994	3.100176
24	-577.481105	2.900046
25	-578.347216	2.673932
26	-579.213328	2.427717
27	-580.079439	2.165675
28	-580.945550	1.893111
29	-581.811662	1.616187
30	-582.677773	1.340460
31	-583.543884	1.070933
32	-584.409996	0.816107
33	-585.276107	0.580494
34	-586.142218	0.368788
35	-587.008330	0.180590
36	-587.874441	0.013731
37	-588.740553	-0.136888
bisection interval found by 1-dim search: [-588.740553,-587.874441]
No.2	 toolpath -506.184257	[r = -587.948027] is calculated within 12.531337s.
-----
initial linear search begins: 
No.	x	f(x)
0	-544.464701	5.393447
1	-545.334368	4.927158
2	-546.204034	4.532879
3	-547.073701	4.220684
4	-547.943367	3.974277
5	-548.813034	3.770422
6	-549.682700	3.589957
7	-550.552367	6.922350
8	-551.422033	6.910220
9	-552.291700	6.898085
10	-553.161366	6.885947
11	-554.031033	6.841604
12	-554.900699	6.619173
13	-555.770366	6.253251
14	-556.640032	5.982538
15	-557.509699	5.509759
16	-558.379365	5.042942
17	-559.249032	4.637912
18	-560.118698	4.317919
19	-560.988365	4.067483
20	-561.858031	3.865576
21	-562.727698	3.690104
22	-563.597364	3.522075
23	-564.467031	3.341844
24	-565.336697	3.134745
25	-566.206364	2.900030
26	-567.076031	2.644617
27	-567.945697	2.374311
28	-568.815364	2.093152
29	-569.685030	1.807314
30	-570.554697	1.521019
31	-571.424363	1.242078
32	-572.294030	0.977950
33	-573.163696	0.732191
34	-574.033363	0.510645
35	-574.903029	0.313633
36	-575.772696	0.137252
37	-576.642362	-0.022079
bisection interval found by 1-dim search: [-576.642362,-575.772696]
No.3	 toolpath -494.752046	[r = -576.515819] is calculated within 12.665696s.
-----
initial linear search begins: 
No.	x	f(x)
0	-532.867859	5.634592
1	-533.740818	5.176348
2	-534.613777	4.945458
3	-535.486736	4.620349
4	-536.359696	4.361405
5	-537.232655	4.147562
6	-538.105614	3.957549
7	-538.978573	3.771833
8	-539.851532	3.571191
9	-540.724492	3.341408
10	-541.597451	3.086664
11	-542.470410	2.811294
12	-543.343369	2.522312
13	-544.216328	2.222253
14	-545.089288	1.917616
15	-545.962247	1.614600
16	-546.835206	1.320262
17	-547.708165	1.040679
18	-548.581124	0.781939
19	-549.454084	0.547244
20	-550.327043	4.048290
21	-551.200002	3.868985
22	-552.072961	3.690323
23	-552.945920	3.494376
24	-553.818880	3.267431
25	-554.691839	3.017221
26	-555.564798	2.746552
27	-556.437757	2.572282
28	-557.310716	2.283020
29	-558.183676	1.987329
30	-559.056635	1.692283
31	-559.929594	1.404394
32	-560.802553	1.131438
33	-561.675512	0.876931
