The time spent in the parallel computing activating process is 0.000233s.
-----
No.1	 toolpath 535.098155	[r = 600.000000] is calculated within 0.026740s.
-----
initial linear search begins: 
No.	x	f(x)
0	563.842934	1.218858
1	564.566076	1.168584
2	565.289217	1.133391
3	566.012358	1.128668
4	566.735500	1.123944
5	567.458641	1.119219
6	568.181782	1.114493
7	568.904924	1.109766
8	569.628065	1.105038
9	570.351206	1.100309
10	571.074348	1.095578
11	571.797489	1.090846
12	572.520630	1.086113
13	573.243772	1.043563
14	573.966913	0.937983
15	574.690054	0.827702
16	575.413195	0.723629
17	576.136337	0.632815
18	576.859478	0.559888
19	577.582619	0.528931
20	578.305761	0.553902
21	579.028902	0.561701
22	579.752043	0.562883
23	580.475185	0.564067
24	581.198326	0.566065
25	581.921467	0.549065
26	582.644609	0.486594
27	583.367750	0.483861
28	584.090891	0.481127
29	584.814032	0.478393
30	585.537174	0.475658
31	586.260315	0.472923
32	586.983456	0.470187
33	587.706598	0.467450
34	588.429739	0.459547
35	589.152880	0.368730
36	589.876022	0.196392
37	590.599163	-0.001117
bisection interval found by 1-dim search: [589.876022,590.599163]
No.2	 toolpath 525.560317	[r = 590.462868] is calculated within 11.404682s.
-----
initial linear search begins: 
No.	x	f(x)
0	554.188058	1.311512
1	554.913554	1.263908
2	555.639050	1.259187
3	556.364546	1.254465
4	557.090042	1.249741
5	557.815539	1.245017
6	558.541035	1.240292
7	559.266531	1.235565
8	559.992027	1.230838
9	560.717523	1.226109
10	561.443020	1.221378
11	562.168516	1.216647
12	562.894012	1.152216
13	563.619508	1.037321
14	564.345004	0.915553
15	565.070501	0.797542
16	565.795997	0.689063
17	566.521493	0.594449
18	567.246989	0.580839
19	567.972485	0.578110
20	568.697982	0.575381
21	569.423478	0.572651
22	570.148974	0.569920
23	570.874470	0.567189
24	571.599966	0.564457
25	572.325463	0.561725
26	573.050959	0.525334
27	573.776455	0.478679
28	574.501951	0.456181
29	575.227447	0.483798
30	575.952944	0.512152
31	576.678440	0.534569
32	577.403936	0.542580
33	578.129432	0.529566
34	578.854929	0.482517
35	579.580425	0.386822
36	580.305921	0.219376
37	581.031417	0.023898
38	581.756913	0.022948
39	582.482410	0.021999
40	583.207906	0.021049
41	583.933402	0.020100
42	584.658898	0.019150
43	585.384394	0.018200
44	586.109891	-0.004053
bisection interval found by 1-dim search: [585.384394,586.109891]
No.3	 toolpath 521.166953	[r = 586.069506] is calculated within 11.404986s.
-----
initial linear search begins: 
No.	x	f(x)
0	549.741217	1.326424
1	550.467783	1.321704
2	551.194349	1.316983
3	551.920915	1.312261
4	552.647480	1.307538
5	553.374046	1.302815
6	554.100612	1.298089
7	554.827178	1.293363
8	555.553744	1.288636
9	556.280309	1.283907
10	557.006875	1.279177
11	557.733441	1.254332
12	558.460007	1.149467
13	559.186572	1.026713
14	559.913138	0.902151
15	560.639704	0.782560
16	561.366270	0.672791
17	562.092836	0.616844
18	562.819401	0.614116
19	563.545967	0.611387
20	564.272533	0.608657
21	564.999099	0.605927
22	565.725665	0.603195
23	566.452230	0.600464
24	567.178796	0.597732
25	567.905362	0.572441
26	568.631928	0.511052
27	569.358493	0.458369
28	570.085059	0.441113
29	570.811625	0.472552
30	571.538191	0.503220
31	572.264757	0.525727
32	572.991322	0.529413
33	573.717888	0.526000
34	574.444454	0.484694
35	575.171020	0.391487
36	575.897586	0.227927
