The time spent in the parallel computing activating process is 0.000263s.
-----
No.1	 toolpath -517.962080	[r = -600.000000] is calculated within 0.026749s.
-----
initial linear search begins: 
No.	x	f(x)
0	-563.842934	7.213872
1	-564.566076	7.203817
2	-565.289217	7.193759
3	-566.012358	7.183696
4	-566.735500	7.095438
5	-567.458641	6.879241
6	-568.181782	6.571168
7	-568.904924	6.206067
8	-569.628065	5.812958
9	-570.351206	5.427313
10	-571.074348	5.078878
11	-571.797489	4.791642
12	-572.520630	4.557958
13	-573.243772	4.366954
14	-573.966913	4.206770
15	-574.690054	4.064526
16	-575.413195	3.928569
17	-576.136337	3.787993
18	-576.859478	3.633310
19	-577.582619	3.456683
20	-578.305761	3.262118
21	-579.028902	3.053858
22	-579.752043	2.835553
23	-580.475185	2.607762
24	-581.198326	2.375375
25	-581.921467	2.139810
26	-582.644609	1.906653
27	-583.367750	1.678308
28	-584.090891	1.458412
29	-584.814032	1.251833
30	-585.537174	1.060304
31	-586.260315	0.885914
32	-586.983456	0.728144
33	-587.706598	0.585008
34	-588.429739	0.513913
35	-589.152880	0.388164
36	-589.876022	0.270765
37	-590.599163	0.158328
38	-591.322304	0.049849
39	-592.045446	-0.054906
bisection interval found by 1-dim search: [-592.045446,-591.322304]
No.2	 toolpath -509.627594	[r = -591.664808] is calculated within 8.800589s.
-----
initial linear search begins: 
No.	x	f(x)
0	-555.404712	7.448048
1	-556.129914	7.437998
2	-556.855116	7.427947
3	-557.580317	7.417892
4	-558.305519	7.335158
5	-559.030721	7.122032
6	-559.755923	6.812566
7	-560.481125	6.443131
8	-561.206327	6.045686
9	-561.931529	5.651506
10	-562.656731	5.295049
11	-563.381933	4.999617
12	-564.107135	4.757157
13	-564.832337	4.559483
14	-565.557539	4.393237
15	-566.282741	4.245505
16	-567.007942	4.104631
17	-567.733144	3.958813
18	-568.458346	3.799143
19	-569.183548	3.618418
20	-569.908750	3.419555
21	-570.633952	3.206813
22	-571.359154	2.982440
23	-572.084356	2.749762
24	-572.809558	2.512341
25	-573.534760	2.271544
26	-574.259962	2.032979
27	-574.985164	1.797925
28	-575.710365	1.573715
29	-576.435567	1.360729
30	-577.160769	1.163925
31	-577.885971	0.984338
32	-578.611173	0.820614
33	-579.336375	0.671622
34	-580.061577	0.535425
35	-580.786779	0.407840
36	-581.511981	0.287698
37	-582.237183	0.172378
38	-582.962385	0.060150
39	-583.687587	-0.049143
bisection interval found by 1-dim search: [-583.687587,-582.962385]
No.3	 toolpath -501.661220	[r = -583.358271] is calculated within 8.731570s.
-----
initial linear search begins: 
No.	x	f(x)
0	-546.997217	3.928905
1	-547.724438	3.730950
2	-548.451659	3.515066
3	-549.178881	3.286590
4	-549.906102	3.047683
5	-550.633323	2.801718
6	-551.360544	2.549386
7	-552.087765	2.420307
8	-552.814986	2.168365
9	-553.542207	1.920772
10	-554.269428	1.680245
11	-554.996649	1.452397
12	-555.723870	4.956790
13	-556.451091	4.751195
14	-557.178312	4.577996
15	-557.905533	4.424860
16	-558.632755	4.278245
17	-559.359976	4.128825
18	-560.087197	3.964146
19	-560.814418	3.779375
20	-561.541639	3.576261
21	-562.268860	3.357686
22	-562.996081	3.128626
23	-563.723302	2.891101
24	-564.450523	2.647221
25	-565.177744	2.402686
26	-565.904965	2.157420
27	-566.632186	1.916947
28	-567.359408	1.687398
29	-568.086629	1.469093
