The time spent in the parallel computing activating process is 0.000209s.
-----
No.1	 toolpath -516.536235	[r = -600.000000] is calculated within 0.030055s.
-----
initial linear search begins: 
No.	x	f(x)
0	-564.794192	5.192044
1	-565.498308	4.903523
2	-566.202424	4.759991
3	-566.906541	4.504570
4	-567.610657	4.237853
5	-568.314773	4.119060
6	-569.018889	4.056691
7	-569.723005	3.845112
8	-570.427121	3.837297
9	-571.131238	3.829479
10	-571.835354	3.821659
11	-572.539470	3.813837
12	-573.243586	3.734850
13	-573.947702	3.362019
14	-574.651818	3.122251
15	-575.355935	2.991586
16	-576.060051	2.775330
17	-576.764167	2.768193
18	-577.468283	2.625779
19	-578.172399	2.221837
20	-578.876515	2.040957
21	-579.580631	1.899733
22	-580.284748	1.789051
23	-580.988864	1.721210
24	-581.692980	1.717163
25	-582.397096	1.713115
26	-583.101212	1.709066
27	-583.805328	1.705016
28	-584.509445	1.700964
29	-585.213561	1.696912
30	-585.917677	1.692858
31	-586.621793	1.461583
32	-587.325909	1.418970
33	-588.030025	1.323877
34	-588.734141	1.320604
35	-589.438258	1.177440
36	-590.142374	0.907309
37	-590.846490	0.576382
38	-591.550606	0.494719
39	-592.254722	0.423580
40	-592.958838	0.340768
41	-593.662955	0.211754
42	-594.367071	0.149125
43	-595.071187	0.123854
44	-595.775303	0.103127
45	-596.479419	0.046573
46	-597.183535	-0.061322
bisection interval found by 1-dim search: [-597.183535,-596.479419]
No.2	 toolpath -513.127047	[r = -596.591500] is calculated within 11.928017s.
-----
initial linear search begins: 
No.	x	f(x)
0	-561.344465	5.294996
1	-562.049405	5.008118
2	-562.754346	4.859027
3	-563.459287	4.601613
4	-564.164227	4.331253
5	-564.869168	4.209855
6	-565.574109	4.147416
7	-566.279050	3.921495
8	-566.983990	3.913682
9	-567.688931	3.905867
10	-568.393872	3.898050
11	-569.098812	3.890231
12	-569.803753	3.815147
13	-570.508694	3.439838
14	-571.213635	3.196311
15	-571.918575	3.062255
16	-572.623516	2.845402
17	-573.328457	2.833200
18	-574.033397	2.694343
19	-574.738338	2.288081
20	-575.443279	2.102089
21	-576.148220	1.958071
22	-576.853160	1.846915
23	-577.558101	1.760615
24	-578.263042	1.756569
25	-578.967982	1.752521
26	-579.672923	1.748473
27	-580.377864	1.744425
28	-581.082805	1.740375
29	-581.787745	1.736324
30	-582.492686	1.732272
31	-583.197627	1.501064
32	-583.902567	1.457057
33	-584.607508	1.355667
34	-585.312449	1.352395
35	-586.017390	1.208179
36	-586.722330	0.938567
37	-587.427271	0.603288
38	-588.132212	0.517224
39	-588.837152	0.447314
40	-589.542093	0.360187
41	-590.247034	0.230492
42	-590.951974	0.163431
43	-591.656915	0.138993
44	-592.361856	-0.052932
bisection interval found by 1-dim search: [-592.361856,-591.656915]
No.3	 toolpath -508.354240	[r = -591.817317] is calculated within 10.969666s.
-----
initial linear search begins: 
No.	x	f(x)
0	-556.513009	5.439242
1	-557.219096	5.156885
2	-557.925182	4.997672
3	-558.631268	4.738611
4	-559.337354	4.464119
5	-560.043440	4.337199
6	-560.749526	4.275210
7	-561.455612	4.031634
8	-562.161699	4.020458
9	-562.867785	4.012645
10	-563.573871	4.004831
11	-564.279957	3.997015
12	-564.986043	3.928539
13	-565.692129	3.551347
14	-566.398216	3.300543
15	-567.104302	3.161720
16	-567.810388	2.945057
17	-568.516474	2.924081
