//X Y Z Nx Ny Nz
0.25177971 0.99920034 4.87821913 0.011828 0.429750 0.902870
0.97385389 1.27953506 4.71720982 0.047407 0.442914 0.895310
1.17389977 1.31478393 4.67738390 0.206979 0.279213 0.937657
0.87093252 1.41602981 4.61220121 -0.176287 0.685219 0.706680
0.91983849 1.42629540 4.61556864 -0.152127 0.631102 0.760636
1.31811130 1.62258554 4.52053785 0.067594 0.462121 0.884237
1.40472281 1.66208160 4.49165964 0.138130 0.428629 0.892859
1.63816774 1.99749649 4.27954674 0.313002 0.405515 0.858829
1.54119718 2.40298176 4.07079983 0.004017 0.499448 0.866335
1.55938506 2.54724622 3.98637962 0.080564 0.507409 0.857931
1.22324741 3.36160898 3.49181080 0.237693 0.659560 0.713080
1.15672493 2.86503053 3.73723435 -0.393128 0.272629 0.878137
1.12277460 3.09751654 3.65037441 -0.178108 0.366189 0.913336
1.12471008 3.01043725 3.68085957 -0.305414 0.279110 0.910396
1.02756011 2.88360810 3.66156220 -0.541799 0.096288 0.834974
0.79071897 3.61420560 3.35721469 0.120505 0.659061 0.742373
0.89030582 3.36976361 3.50621629 -0.088714 0.391707 0.915803
0.77261823 3.07440948 3.51520514 -0.468476 -0.082508 0.879615
0.38331038 3.37579012 3.41863394 -0.162002 0.010196 0.986738
0.00498924 3.59145856 3.36864972 -0.013584 0.297615 0.954589
0.11950375 3.47004652 3.39205861 -0.024435 0.064807 0.997599
0.00070706 3.31706953 3.37162757 -0.042336 -0.223774 0.973721
1.05030990 2.53663063 3.71538281 0.685335 -0.136467 -0.715327
0.52309561 3.03792930 3.38890195 0.342390 0.176126 -0.922902
0.97312814 2.37348485 3.68715358 0.635026 -0.268971 -0.724152
0.08051545 3.14442039 3.31968832 0.037687 0.234632 -0.971353
0.48683733 2.79264688 3.34659553 0.342788 0.021663 -0.939163
0.58915925 2.56085300 3.39731479 0.418987 -0.095413 -0.902965
0.12809414 3.12965083 3.31872702 0.108357 0.228188 -0.967569
0.75655180 2.18979692 3.59749794 0.505901 -0.366900 -0.780672
0.21636125 2.77168417 3.28075290 0.130743 0.021232 -0.991189
0.47045991 2.23199081 3.43728733 0.287272 -0.371498 -0.882872
0.23543140 2.41090465 3.32251239 0.130517 -0.226144 -0.965310
0.05907121 2.37106156 3.31481528 0.030348 -0.241567 -0.969909
0.25362337 2.31431341 3.35197806 0.188017 -0.302219 -0.934512
0.05659127 2.25647092 3.34963846 0.031632 -0.317587 -0.947701
0.26470870 1.82981706 3.61031413 0.188105 -0.594902 -0.781478
0.36296266 1.76305676 3.69458532 0.265950 -0.673633 -0.689558
0.22374669 1.64814079 3.77226639 0.130262 -0.723181 -0.678263
0.21759200 1.58199096 3.85034823 0.129452 -0.778202 -0.614527
0.48546204 1.38416576 4.38060331 0.366360 -0.894392 -0.256600
0.32007265 1.33428073 4.39016008 0.187703 -0.952019 -0.241718
0.08514583 1.30068231 4.39076376 0.035986 -0.961693 -0.271756
-0.35016125 -4.23288393 2.63492489 -0.092889 -0.844573 0.527322
-0.29564869 -4.10083961 2.84405303 -0.081316 -0.831701 0.549237
-0.49541029 -4.05302763 2.88035369 -0.094092 -0.814985 0.571792
-0.50690800 -3.82332420 3.17874026 -0.079635 -0.763045 0.641421
-1.13938034 -4.08508778 2.64697504 -0.201626 -0.826210 0.526046
-0.28640944 -3.27464247 3.76569080 -0.035267 -0.641865 0.766006
-1.26270831 -4.05609369 2.63196993 -0.264351 -0.805566 0.530266
-0.31812602 -3.23472619 3.79611087 -0.079635 -0.641421 0.763045
-0.25558487 -3.05785084 3.94538498 -0.035021 -0.595365 0.802692
-0.10486578 -2.92637610 4.04942656 -0.020720 -0.573247 0.819121
-0.82941461 -3.29471922 3.66654825 -0.152710 -0.678881 0.718192
-0.55060351 -2.99110484 3.96694088 -0.094875 -0.617417 0.780894
-1.49459767 -3.87675261 2.77758408 -0.308730 -0.763026 0.567871
-1.55475581 -3.86831141 2.75522852 -0.321632 -0.776077 0.542454
-1.24710155 -3.59915829 3.23407602 -0.251471 -0.722780 0.643701
-1.14328122 -3.40910840 3.47140861 -0.209744 -0.691378 0.691378
-0.79721117 -3.09185362 3.84503627 -0.152185 -0.634356 0.757913
-0.58455217 -2.97005177 3.97925568 -0.138789 -0.613357 0.777516
-1.52600741 -3.65975642 3.04078317 -0.307692 -0.729762 0.610551
